id,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl.1,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
9f9e1b9c,Sabit Abdulai,gh GHA,MF,Getafe,21,1999,0.7,2,0,1,1,0,1,3,33.3,2,0,0,0,0,2,0,0,Matches
81442ecb,Marcos Acuña,ar ARG,DF,Sevilla,28,1991,25.9,62,42,34,20,8,23,41,56.1,18,23,2,21,23,85,30,1,Matches
3ed84b2c,Bobby Adekanye,nl NED,"FW,MF",Cádiz,21,1999,0.4,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,1,0,Matches
355c883a,Martin Agirregabiria,es ESP,"DF,MF",Alavés,24,1996,17.3,32,18,17,12,3,17,33,51.5,16,9,3,6,27,59,36,0,Matches
18abe173,Joseph Aidoo,gh GHA,DF,Celta Vigo,24,1995,14.3,26,17,17,9,0,12,21,57.1,9,7,4,3,25,51,88,1,Matches
f2a68b97,Carlos Akapo,gq EQG,DF,Cádiz,27,1993,9.6,18,14,14,4,0,10,18,55.6,8,16,3,13,19,37,33,0,Matches
31f5b89b,Paul Akouokou,ci CIV,MF,Betis,22,1997,4.2,11,8,2,8,1,5,8,62.5,3,3,1,2,6,17,7,0,Matches
788be7f9,Jony Álamo,es ESP,MF,Elche,18,2001,0.8,2,1,1,0,1,0,1,0.0,1,0,0,0,1,3,0,0,Matches
4601e194,Jordi Alba,es ESP,"DF,FW",Barcelona,31,1989,33.6,45,30,22,16,7,24,52,46.2,28,21,2,19,49,94,48,0,Matches
4bd414c1,Raúl Albiol,es ESP,DF,Villarreal,34,1985,34.6,22,15,19,3,0,13,18,72.2,5,32,22,10,22,44,146,2,Matches
a7a9d95a,Paco Alcácer,es ESP,FW,Villarreal,26,1993,17.2,6,3,1,2,3,3,7,42.9,4,8,0,8,9,15,6,0,Matches
ba71d071,Pedro Alcalá,es ESP,DF,Cádiz,31,1989,10.1,8,4,6,2,0,3,5,60.0,2,19,13,6,16,24,50,0,Matches
036bba5f,Rubén Alcaraz,es ESP,MF,Valladolid,29,1991,24.1,54,29,32,21,1,30,80,37.5,50,35,8,27,31,85,28,0,Matches
3d7e48ce,Iván Alejo,es ESP,"MF,FW",Cádiz,25,1995,9.2,14,10,8,4,2,4,23,17.4,19,14,1,13,3,17,10,0,Matches
6c811eb7,Carles Aleñá,es ESP,MF,Barcelona,22,1998,0.5,1,0,1,0,0,0,0,,0,0,0,0,0,1,0,0,Matches
6c811eb7,Carles Aleñá,es ESP,"MF,FW",Getafe,22,1998,15.2,15,10,3,9,3,7,25,28.0,18,14,1,13,2,17,2,0,Matches
1c772b46,Alfon,es ESP,MF,Celta Vigo,21,1999,0.4,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
