id,Player,Nation,Pos,Squad,Age,Born,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Matches
4b7a9fcc,James Abankwah,ie IRL,DF,Udinese,19-113,2004,0.1,5,2,3,2,0,0,0,1,0,0,0,0,5,0,0,Matches
8f5cdf66,Oliver Abildgaard,dk DEN,MF,Hellas Verona,26-333,1996,5.2,153,152,0,0,0,1,4,0,0,0,0,0,84,1,2,Matches
f586779e,Tammy Abraham,eng ENG,FW,Roma,25-219,1997,23.3,488,453,32,1,3,3,11,1,0,0,0,0,326,3,8,Matches
771a2cfe,Christian Acella,it ITA,MF,Cremonese,20-306,2002,0.2,9,9,0,0,0,0,0,0,0,0,0,0,9,0,0,Matches
b96b595c,Francesco Acerbi,it ITA,DF,Inter,35-088,1988,24.3,1508,1433,71,38,1,10,21,18,0,0,0,0,1335,4,4,Matches
26777636,Yacine Adli,fr FRA,"MF,FW",Milan,22-284,2000,1.4,65,63,2,1,0,1,4,1,0,0,0,0,43,0,4,Matches
f9c927de,Michel Aebischer,ch SUI,"FW,MF",Bologna,26-123,1997,15.1,588,557,28,9,0,3,20,12,4,1,3,0,479,3,14,Matches
0154d290,Felix Afena-Gyan,gh GHA,"FW,MF",Cremonese,20-110,2003,8.4,181,175,6,1,0,1,4,4,0,0,0,0,138,0,4,Matches
46fa7204,Kevin Agudelo,co COL,"MF,FW",Spezia,24-176,1998,22.9,698,677,15,2,5,1,31,5,5,3,2,0,508,6,32,Matches
246d153b,Ola Aina,ng NGA,DF,Torino,26-213,1996,9.0,498,392,102,8,0,1,31,91,3,0,0,0,370,4,16,Matches
d810c13b,Emanuel Aiwum,at AUT,DF,Cremonese,22-135,2000,17.4,759,660,97,23,1,5,4,65,0,0,0,0,596,2,13,Matches
fdf4b948,Jean-Daniel Akpa-Akpro,ci CIV,MF,Empoli,30-210,1992,12.2,351,343,8,7,1,2,9,1,0,0,0,0,265,0,14,Matches
5294a83f,Luis Alberto,es ESP,MF,Lazio,30-223,1992,23.1,1675,1461,206,70,12,7,122,7,96,46,41,0,1380,8,28,Matches
ab472696,Agustín Álvarez Martínez,uy URU,"FW,MF",Sassuolo,21-355,2001,4.1,84,76,8,0,0,1,4,0,3,0,3,0,68,0,1,Matches
bcc81786,Kelvin Amian,fr FRA,DF,Spezia,25-090,1998,23.4,1003,795,205,13,1,2,32,191,1,0,1,0,760,3,26,Matches
2df7cc43,Bruno Amione,ar ARG,DF,Hellas Verona,21-126,2002,0.6,16,9,7,0,0,0,0,3,0,0,0,0,11,0,1,Matches
2df7cc43,Bruno Amione,ar ARG,DF,Sampdoria,21-126,2002,20.6,948,871,75,32,0,0,5,43,0,0,0,0,751,2,22,Matches
10b9fa99,Ethan Ampadu,wls WAL,"DF,MF",Spezia,22-237,2000,25.6,1418,1312,100,41,3,17,10,44,0,0,0,0,1154,6,15,Matches
5a2cb25d,Sofyan Amrabat,ma MAR,MF,Fiorentina,26-261,1996,21.3,1443,1350,90,80,1,22,26,8,1,0,0,0,1279,3,25,Matches
9f1893b9,Felipe Anderson,br BRA,FW,Lazio,30-024,1993,30.4,1280,1243,32,2,4,8,45,19,3,1,2,0,993,5,38,Matches
38d9ce53,Janis Antiste,fr FRA,FW,Sassuolo,20-264,2002,0.6,18,18,0,0,0,0,0,0,0,0,0,0,13,0,0,Matches
108fe016,Marcos Antônio,br BRA,MF,Lazio,22-330,2000,5.8,355,353,2,2,1,0,0,0,0,0,0,0,321,0,3,Matches
8f68aa41,Valentin Antov,bg BUL,DF,Monza,22-181,2000,3.2,210,194,16,4,0,1,2,12,0,0,0,0,183,0,1,Matches
00459419,Marko Arnautović,at AUT,FW,Bologna,34-020,1989,13.9,388,350,32,0,3,0,9,3,0,0,0,0,273,6,12,Matches
963a328b,Tolgay Arslan,de GER,MF,Udinese,32-266,1990,11.7,521,476,44,25,0,12,26,5,14,7,1,0,413,1,12,Matches
a820e429,Arthur,br BRA,FW,Fiorentina,25-014,1998,14.9,263,245,16,0,1,1,3,3,0,0,0,0,177,2,14,Matches
e26fcca3,Santiago Ascacíbar,ar ARG,MF,Cremonese,26-073,1997,8.1,435,412,21,11,0,4,5,5,5,0,3,0,358,2,9,Matches
a69cc629,Kristoffer Askildsen,no NOR,MF,Lecce,22-120,2001,7.0,235,203,31,11,0,7,19,3,15,7,6,0,146,1,7,Matches
0fdcef0e,Kristjan Asllani,al ALB,MF,Inter,21-061,2002,5.1,389,360,28,12,1,5,19,1,15,5,8,0,342,1,4,Matches
649b01d8,Emil Audero,it ITA,GK,Sampdoria,26-111,1997,25.0,919,628,286,86,0,0,0,0,0,0,0,0,617,5,2,Matches
3cd3b384,Tommaso Augello,it ITA,DF,Sampdoria,28-252,1994,30.0,1603,1270,332,42,0,5,142,280,10,0,10,0,1155,1,63,Matches
2200181e,Kaan Ayhan,tr TUR,DF,Sassuolo,28-180,1994,6.1,332,311,20,15,0,7,0,2,0,0,0,0,288,1,2,Matches
dfd24c07,Jaime Báez,uy URU,DF,Cremonese,28-014,1995,1.1,48,44,4,2,0,0,9,0,2,0,1,0,32,0,2,Matches
f42d6c13,Nedim Bajrami,al ALB,"MF,FW",Empoli,24-070,1999,10.4,348,305,43,9,0,4,35,8,18,10,5,0,260,0,8,Matches
f42d6c13,Nedim Bajrami,al ALB,FW,Sassuolo,24-070,1999,7.4,286,247,39,7,0,0,49,4,28,11,13,0,193,0,14,Matches
59bf127b,Tiemoué Bakayoko,fr FRA,MF,Milan,28-265,1994,0.5,20,20,0,0,0,0,0,0,0,0,0,0,17,0,0,Matches
102e2599,Tommaso Baldanzi,it ITA,MF,Empoli,20-047,2003,19.1,620,567,51,6,2,4,21,3,6,1,0,0,513,2,18,Matches
f449640d,Fodé Ballo-Touré,sn SEN,DF,Milan,26-126,1997,5.3,267,207,60,6,0,1,17,54,0,0,0,0,223,0,2,Matches
8a6de8c7,Lameck Banda,zm ZAM,"FW,MF",Lecce,22-100,2001,15.9,375,358,16,1,0,1,45,4,11,5,1,0,242,1,19,Matches
d44360be,Filippo Bandinelli,it ITA,MF,Empoli,28-041,1995,23.6,981,910,64,12,3,5,88,41,9,3,5,0,721,7,41,Matches
01efac19,Antonín Barák,cz CZE,MF,Hellas Verona,28-157,1994,0.3,14,13,1,0,0,0,1,0,0,0,0,0,11,0,0,Matches
01efac19,Antonín Barák,cz CZE,MF,Fiorentina,28-157,1994,17.3,633,607,24,6,5,5,14,6,0,0,0,0,516,2,16,Matches
32ebfe1e,Andrea Barberis,it ITA,MF,Monza,29-149,1993,3.8,166,157,9,6,0,0,4,1,2,0,2,0,140,0,2,Matches
6f1d7aa8,Tommaso Barbieri,it ITA,DF,Juventus,20-256,2002,0.6,31,26,4,1,1,0,3,3,0,0,0,0,25,1,1,Matches
0acda699,Francesco Bardi,it ITA,GK,Bologna,31-111,1992,1.0,23,12,10,1,0,0,0,0,0,0,0,0,18,1,0,Matches
6928979a,Nicolò Barella,it ITA,MF,Inter,26-091,1997,27.1,1512,1478,28,12,6,15,83,8,6,0,2,0,1229,6,28,Matches
6caffe81,Enzo Barrenechea,ar ARG,MF,Juventus,21-352,2001,1.8,115,111,4,3,0,0,0,1,0,0,0,0,98,0,5,Matches
e5bf73f3,Musa Barrow,gm GAM,"FW,MF",Bologna,24-176,1998,18.5,661,567,83,14,4,15,91,11,44,24,18,0,463,11,21,Matches
5a08ee41,Federico Baschirotto,it ITA,DF,Lecce,26-231,1996,33.0,1323,1208,108,63,1,20,13,39,0,0,0,0,969,7,14,Matches
80556f08,Toma Bašić,hr CRO,MF,Lazio,26-165,1996,5.4,277,257,20,6,2,0,19,0,7,3,4,0,207,0,12,Matches
2ce215f2,Alberto Basso,it ITA,MF,Cremonese,18-314,2004,0.2,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0,Matches
75b86fb3,Alessandro Bastoni,it ITA,DF,Inter,24-026,1999,21.5,1510,1371,131,44,2,22,47,74,0,0,0,0,1245,8,24,Matches
1ac232b8,Simone Bastoni,it ITA,"MF,DF",Spezia,26-185,1996,13.1,583,470,112,22,2,5,100,43,47,26,15,0,358,1,36,Matches
78e6bf2c,Brian Bayeye,fr FRA,DF,Torino,22-313,2000,0.7,50,38,12,0,0,0,2,12,0,0,0,0,30,0,6,Matches
19e4eab9,Rodrigo Becão,br BRA,DF,Udinese,27-110,1996,26.6,1351,1139,210,65,1,9,17,145,0,0,0,0,1054,2,30,Matches
e892c325,Julius Beck,dk DEN,MF,Spezia,18-012,2005,0.1,5,5,0,0,0,0,0,0,0,0,0,0,5,0,0,Matches
e3756e72,Raoul Bellanova,it ITA,DF,Inter,22-357,2000,3.6,231,207,24,0,0,3,27,24,0,0,0,0,181,0,7,Matches
d705ba44,Andrea Belotti,it ITA,FW,Roma,29-140,1993,9.4,195,182,10,1,1,1,5,3,0,0,0,0,129,3,11,Matches
0000acda,Marco Benassi,it ITA,DF,Fiorentina,28-243,1994,1.0,105,94,11,5,0,4,7,6,0,0,0,0,91,0,1,Matches
0000acda,Marco Benassi,it ITA,MF,Cremonese,28-243,1994,10.3,326,285,39,5,1,2,24,4,13,3,8,0,233,2,13,Matches
db092d3b,Ismaël Bennacer,dz ALG,MF,Milan,25-159,1997,22.3,1423,1309,112,54,4,11,79,5,51,19,27,0,1219,2,16,Matches
53a0e358,Domenico Berardi,it ITA,FW,Sassuolo,28-281,1994,17.0,738,680,57,12,6,31,61,8,37,21,5,0,500,1,27,Matches
61b3978f,Bartosz Bereszyński,pl POL,DF,Sampdoria,30-301,1992,13.3,644,480,161,28,0,1,31,133,0,0,0,0,471,3,19,Matches
ed5c0319,Beto,gw GNB,FW,Udinese,25-098,1998,21.5,278,268,9,0,0,0,9,0,0,0,0,0,174,1,10,Matches
b3a20f18,Matteo Bianchetti,it ITA,DF,Cremonese,30-053,1993,21.8,852,789,59,42,0,2,2,1,0,0,0,0,660,4,8,Matches
d65cf468,Alessandro Bianco,it ITA,MF,Fiorentina,20-220,2002,1.4,62,60,2,2,0,3,1,0,0,0,0,0,51,0,0,Matches
6fdac234,Jaka Bijol,si SVN,DF,Udinese,24-093,1999,27.3,1211,1176,30,24,3,10,1,0,0,0,0,0,1022,5,4,Matches
9e1577aa,Cristiano Biraghi,it ITA,DF,Fiorentina,30-250,1992,27.2,1938,1394,538,92,0,26,291,286,160,71,62,0,1389,6,35,Matches
204ac005,Samuele Birindelli,it ITA,DF,Monza,23-294,1999,14.2,677,568,109,4,0,5,65,105,0,0,0,0,493,0,14,Matches
79370f8c,Kristijan Bistrović,hr CRO,MF,Lecce,25-030,1998,5.1,140,119,21,11,0,3,21,0,7,3,3,0,101,0,6,Matches
c69ef855,Alexis Blin,fr FRA,MF,Lecce,26-235,1996,22.4,843,790,52,13,1,9,27,17,2,1,0,0,667,1,14,Matches
fe012aca,Jeremie Boga,ci CIV,"MF,FW",Atalanta,26-126,1997,8.7,475,431,43,8,3,3,55,6,29,14,10,0,381,1,8,Matches
c83c203f,Emil Bohinen,no NOR,MF,Salernitana,24-058,1999,7.6,387,369,17,15,0,2,3,0,2,0,2,0,325,1,12,Matches
d995ed27,Giacomo Bonaventura,it ITA,MF,Fiorentina,33-260,1989,20.6,891,841,49,26,4,6,48,5,8,0,5,0,734,1,24,Matches
bf57eaab,Federico Bonazzoli,it ITA,"FW,MF",Salernitana,25-353,1997,12.4,354,325,28,3,3,13,4,0,0,0,0,0,264,1,14,Matches
0def2376,Warren Bondo,fr FRA,MF,Monza,19-236,2003,0.7,51,48,3,2,0,0,0,1,0,0,0,0,45,0,1,Matches
fb77bfef,Kevin Bonifazi,it ITA,DF,Bologna,26-355,1996,6.2,399,388,10,10,1,3,2,0,0,0,0,0,345,1,1,Matches
52ec54d0,Leonardo Bonucci,it ITA,DF,Juventus,36-008,1987,8.7,510,473,36,13,1,6,0,1,0,0,0,0,443,1,2,Matches
3d13d9e4,Erik Botheim,no NOR,"FW,MF",Salernitana,23-119,2000,7.4,174,171,2,0,1,0,4,0,0,0,0,0,121,1,6,Matches
0d077b88,Mehdi Bourabia,ma MAR,MF,Spezia,31-275,1991,27.9,1203,1131,65,29,4,4,61,7,29,21,4,0,926,7,34,Matches
ae94a6c5,Edoardo Bove,it ITA,MF,Roma,20-358,2002,7.9,275,264,11,1,1,1,6,3,3,0,1,0,203,0,11,Matches
c609e90e,Jayden Braaf,nl NED,"MF,FW",Hellas Verona,20-251,2002,2.8,66,64,1,1,0,0,4,0,0,0,0,0,51,1,6,Matches
8bbe2df5,Domagoj Bradarić,hr CRO,DF,Salernitana,23-150,1999,22.8,1022,799,220,31,0,6,66,184,5,1,1,0,756,3,23,Matches
d4a2533d,Josip Brekalo,hr CRO,"FW,MF",Fiorentina,24-320,1998,1.3,58,58,0,0,0,0,6,0,0,0,0,0,42,0,3,Matches
5fd5ed86,Gleison Bremer,br BRA,DF,Juventus,26-052,1997,26.4,1496,1440,55,21,0,8,0,3,0,0,0,0,1352,1,8,Matches
edd81e2a,Dylan Bronn,tn TUN,DF,Salernitana,27-324,1995,17.7,965,902,57,35,1,13,7,22,0,0,0,0,820,6,7,Matches
33b8d077,Marcelo Brozović,hr CRO,MF,Inter,30-174,1992,16.3,1268,1185,81,49,2,13,40,6,26,11,10,0,1106,2,9,Matches
f3a9fa26,Cristian Buonaiuto,it ITA,"MF,FW",Cremonese,30-131,1992,9.3,398,326,71,15,1,4,63,14,35,21,10,0,256,1,10,Matches
4ae67f27,Alessandro Buongiorno,it ITA,DF,Torino,23-337,1999,26.2,1392,1357,31,23,1,3,7,6,0,0,0,0,1181,4,20,Matches
ef6eef89,Juan Cabal,co COL,DF,Hellas Verona,22-121,2001,2.0,104,97,7,4,0,4,3,3,0,0,0,0,79,0,4,Matches
dd86e8e4,Liberato Cacace,nz NZL,DF,Empoli,22-224,2000,4.5,284,230,54,4,0,1,18,50,0,0,0,0,227,0,6,Matches
2146785a,Davide Calabria,it ITA,DF,Milan,26-154,1996,15.8,1039,868,166,14,0,4,36,147,5,0,5,0,831,5,19,Matches
ac7e640b,Mattia Caldara,it ITA,DF,Spezia,29-004,1994,13.9,600,540,58,31,0,2,1,9,0,0,0,0,461,2,4,Matches
226008f1,Luca Caldirola,it ITA,DF,Monza,32-097,1991,23.6,1291,1231,58,36,1,7,5,6,0,0,0,0,1136,2,7,Matches
cd0fa27b,Hakan Çalhanoğlu,tr TUR,MF,Inter,29-090,1994,24.7,1575,1407,163,63,5,24,153,5,95,30,58,0,1311,5,12,Matches
13ea2544,Mohamed Camara,gn GUI,MF,Roma,26-070,1997,5.9,254,250,3,2,1,1,5,1,0,0,0,0,195,1,6,Matches
91ff775f,Nicolò Cambiaghi,it ITA,"FW,MF",Empoli,22-132,2000,10.5,328,320,6,1,0,0,24,3,1,0,0,0,247,2,20,Matches
247ed022,Andrea Cambiaso,it ITA,DF,Bologna,23-078,2000,20.1,1217,1012,203,20,0,7,50,181,2,1,1,0,997,2,35,Matches
b6a1cdf9,Matteo Cancellieri,it ITA,FW,Lazio,21-086,2002,2.8,87,86,1,0,0,0,7,1,0,0,0,0,61,0,4,Matches
356c9002,Antonio Candreva,it ITA,"DF,MF",Salernitana,36-070,1987,27.3,1419,1193,222,47,5,23,190,123,48,7,22,0,1029,4,43,Matches
54e53b7e,Gianluca Caprari,it ITA,"MF,FW",Monza,29-283,1993,24.2,953,896,51,10,4,13,70,5,30,6,21,0,744,6,38,Matches
5bd72174,Francesco Caputo,it ITA,FW,Sampdoria,35-276,1987,12.2,237,208,28,0,0,0,3,2,0,0,0,0,168,1,9,Matches
5bd72174,Francesco Caputo,it ITA,FW,Empoli,35-276,1987,17.0,304,297,7,1,1,0,6,1,0,0,0,0,214,0,12,Matches
f7e2af2c,Andrea Carboni,it ITA,DF,Monza,22-094,2001,1.9,87,74,13,1,0,1,5,11,1,0,1,0,69,0,3,Matches
b033f803,Franco Carboni,it ITA,DF,Monza,20-035,2003,0.6,42,35,7,0,0,0,9,7,0,0,0,0,28,0,5,Matches
707b98f1,Valentin Carboni,it ITA,"MF,DF",Inter,18-065,2005,0.3,17,17,0,0,0,0,1,0,0,0,0,0,12,0,0,Matches
8d3cd59d,Carlos,br BRA,DF,Monza,24-122,1999,30.3,1499,1221,273,17,2,5,45,251,0,0,0,0,1251,5,39,Matches
8ec56e62,Marco Carnesecchi,it ITA,GK,Cremonese,22-312,2000,25.0,894,610,279,93,0,6,0,0,0,0,0,0,526,5,0,Matches
3f5f38fb,Nicolò Casale,it ITA,DF,Lazio,25-084,1998,23.9,1363,1287,74,70,2,9,0,1,0,0,0,0,1249,2,6,Matches
6c4307ee,Tommaso Cassandro,it ITA,DF,Lecce,23-120,2000,0.1,6,3,3,0,0,0,0,3,0,0,0,0,6,0,0,Matches
ad92526f,Michele Castagnetti,it ITA,MF,Cremonese,33-133,1989,13.6,700,632,63,36,3,7,35,7,16,10,5,0,534,5,10,Matches
0728bebe,Gaetano Castrovilli,it ITA,MF,Fiorentina,26-081,1997,6.0,179,164,14,9,1,1,9,1,3,0,2,0,140,1,4,Matches
ba3d3bea,Danilo Cataldi,it ITA,MF,Lazio,28-276,1994,21.1,1315,1235,76,40,3,5,44,3,33,6,20,0,1137,4,14,Matches
4d1efb48,Pietro Ceccaroni,it ITA,DF,Lecce,27-139,1995,0.5,14,10,4,1,0,0,0,3,0,0,0,0,10,0,0,Matches
d9624b51,Federico Ceccherini,it ITA,DF,Hellas Verona,30-363,1992,14.4,565,515,50,19,0,2,5,28,0,0,0,0,428,0,15,Matches
07f8bcc8,Assan Ceesay,gm GAM,FW,Lecce,29-053,1994,18.1,355,332,19,0,0,2,13,5,1,0,0,0,207,4,14,Matches
98a84572,Emil Ceide,no NOR,FW,Sassuolo,21-248,2001,4.1,118,115,3,0,1,0,5,3,0,0,0,0,82,0,7,Matches
31a62dc7,Zeki Çelik,tr TUR,DF,Roma,26-081,1997,15.1,850,667,181,11,0,4,40,170,0,0,0,0,639,2,19,Matches
efdeaff3,Michele Cerofolini,it ITA,GK,Fiorentina,24-125,1999,1.0,28,25,3,0,0,0,0,0,0,0,0,0,25,0,0,Matches
b0f7e36c,Federico Chiesa,it ITA,"DF,FW",Juventus,25-196,1997,6.4,215,191,24,4,1,3,26,17,3,0,1,0,158,0,9,Matches
c316607a,Vlad Chiricheș,ro ROU,DF,Cremonese,33-176,1989,9.1,348,328,20,19,1,1,0,0,0,0,0,0,287,0,2,Matches
b09a3ecc,Daniel Ciofani,it ITA,FW,Cremonese,37-282,1985,9.6,171,167,3,0,2,1,2,0,0,0,0,0,101,1,6,Matches
039a4fb6,Tio Cipot,si SVN,"FW,DF",Spezia,20-019,2003,1.5,58,52,6,1,1,0,7,4,1,1,0,0,40,0,4,Matches
5de3866c,Patrick Ciurria,it ITA,"DF,MF",Monza,28-089,1995,26.7,1158,976,180,18,1,2,84,134,28,0,22,0,917,2,15,Matches
8b95acda,Omar Colley,gm GAM,DF,Sampdoria,30-197,1992,15.4,714,681,32,22,0,4,0,3,0,0,0,0,615,1,1,Matches
04df29a5,Lorenzo Colombo,it ITA,FW,Lecce,21-062,2002,14.9,310,295,12,0,0,8,9,2,0,0,0,0,195,3,13,Matches
6499048c,Andrea Colpani,it ITA,MF,Monza,23-363,1999,9.6,376,341,30,4,1,7,31,3,22,4,18,0,293,5,8,Matches
8cabdc1e,Andrea Consigli,it ITA,GK,Sassuolo,36-102,1987,32.0,1325,957,367,92,0,2,0,0,0,0,0,0,1043,1,0,Matches
8fef5412,Andrea Conti,it ITA,DF,Sampdoria,29-068,1994,0.3,11,7,4,0,0,0,0,4,0,0,0,0,6,0,0,Matches
22ae86f9,Diego Coppola,it ITA,DF,Hellas Verona,19-132,2003,12.1,518,461,54,11,0,2,3,43,0,0,0,0,376,3,10,Matches
45b9b619,Joaquín Correa,ar ARG,FW,Inter,28-269,1994,9.2,253,245,5,1,2,1,2,2,0,0,0,0,200,3,12,Matches
bfc359ed,Alessandro Cortinovis,it ITA,MF,Hellas Verona,22-104,2001,0.1,6,6,0,0,0,0,1,0,0,0,0,0,5,0,0,Matches
85a44ecc,Lassana Coulibaly,ml MLI,MF,Salernitana,27-029,1996,28.3,987,967,18,15,2,5,9,3,0,0,0,0,821,2,24,Matches
f554e29b,Alessio Cragno,it ITA,GK,Monza,28-315,1994,1.0,31,24,7,1,0,0,0,0,0,0,0,0,29,0,0,Matches
16657b95,Bryan Cristante,it ITA,"MF,DF",Roma,28-067,1995,30.1,1563,1498,60,57,6,30,9,3,0,0,0,0,1290,5,15,Matches
22cd43d2,Domen Črnigoj,si SVN,MF,Salernitana,27-172,1995,3.3,111,110,1,1,0,0,0,0,0,0,0,0,79,0,4,Matches
0ab1f153,Juan Cuadrado,co COL,"DF,FW",Juventus,34-348,1988,20.2,1149,975,170,26,0,24,73,111,33,11,20,0,964,4,16,Matches
5722eced,Mickaël Cuisance,fr FRA,MF,Sampdoria,23-266,1999,6.9,223,201,22,10,3,5,20,3,7,4,3,0,176,0,6,Matches
060606ec,Marco D'Alessandro,it ITA,"DF,FW",Monza,32-081,1991,3.2,115,100,14,2,0,0,13,12,0,0,0,0,79,1,3,Matches
44eb9093,Danilo D'Ambrosio,it ITA,DF,Inter,34-242,1988,5.2,400,381,19,9,0,2,8,10,0,0,0,0,354,0,2,Matches
f778fe3f,Luca D'Andrea,it ITA,FW,Sassuolo,18-245,2004,3.5,84,80,4,0,1,0,7,1,3,0,0,0,61,0,1,Matches
7ef972c3,Flavius Daniliuc,at AUT,DF,Salernitana,22-012,2001,21.4,975,931,41,32,0,10,0,9,0,0,0,0,832,3,11,Matches
94b2001f,Danilo,br BRA,DF,Juventus,31-298,1991,32.4,1961,1777,176,53,3,17,17,104,0,0,0,0,1649,8,19,Matches
96e0490d,Matteo Darmian,it ITA,DF,Inter,33-158,1989,21.3,1301,1172,126,18,1,16,28,108,0,0,0,0,1123,3,17,Matches
16bb656a,Paweł Dawidowicz,pl POL,DF,Hellas Verona,27-354,1995,17.6,804,738,65,27,1,1,13,38,0,0,0,0,598,1,10,Matches
2ef7c612,Charles De Ketelaere,be BEL,MF,Milan,22-060,2001,11.7,352,334,18,2,2,2,10,6,0,0,0,0,271,0,13,Matches
60e3603d,Manuel De Luca,it ITA,"FW,MF",Sampdoria,24-296,1998,0.5,8,8,0,0,0,0,0,0,0,0,0,0,5,0,0,Matches
ae4e2852,Mattia De Sciglio,it ITA,DF,Juventus,30-201,1992,11.6,569,475,93,7,0,6,26,86,0,0,0,0,450,1,4,Matches
e74f0e59,Lorenzo De Silvestri,it ITA,DF,Bologna,34-351,1988,6.0,289,224,65,5,1,1,6,60,0,0,0,0,211,0,4,Matches
f4797849,Koni De Winter,be BEL,DF,Empoli,20-331,2002,11.4,494,473,21,13,0,0,0,1,0,0,0,0,424,0,2,Matches
854ee61a,Grégoire Defrel,mq MTQ,FW,Sassuolo,31-326,1991,11.5,220,195,25,0,1,1,1,1,2,1,0,0,185,0,5,Matches
0e0d6c53,Duccio Degl'Innocenti,it ITA,MF,Empoli,20-011,2003,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
e3cceee6,Merih Demiral,tr TUR,DF,Atalanta,25-065,1998,16.8,636,571,65,40,0,3,2,2,0,0,0,0,545,0,1,Matches
dc3fa3b5,Diego Demme,de GER,MF,Napoli,31-169,1991,1.5,183,179,4,4,0,0,0,0,0,0,0,0,173,0,1,Matches
d97f2e8d,Fabio Depaoli,it ITA,DF,Hellas Verona,26-015,1997,21.0,620,450,167,4,0,1,53,161,2,1,1,0,404,3,16,Matches
d97f2e8d,Fabio Depaoli,it ITA,"DF,MF",Sampdoria,26-015,1997,1.5,95,75,20,1,1,0,8,19,0,0,0,0,74,0,1,Matches
2990c466,Kastriot Dermaku,al ALB,DF,Lecce,31-114,1992,0.4,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,Matches
dcb38abe,Cyriel Dessers,ng NGA,FW,Cremonese,28-152,1994,17.6,280,250,29,0,1,1,8,3,0,0,0,0,180,1,9,Matches
5976f83e,Sergiño Dest,us USA,DF,Milan,22-187,2000,3.7,198,154,44,1,0,1,4,43,0,0,0,0,169,0,5,Matches
d7d32194,Mattia Destro,it ITA,FW,Empoli,32-050,1991,5.4,66,63,3,0,0,0,2,0,0,0,0,0,37,0,5,Matches
39583cfd,Gerard Deulofeu,es ESP,FW,Udinese,29-057,1994,13.5,588,475,110,27,1,0,59,14,43,20,14,0,443,3,14,Matches
ef94dc2f,Samuel Di Carmine,it ITA,"FW,MF",Cremonese,34-222,1988,0.3,8,7,1,0,0,0,0,0,0,0,0,0,6,0,0,Matches
1fca9171,Federico Di Francesco,it ITA,"FW,MF",Lecce,28-329,1994,21.0,486,441,42,2,7,3,43,11,29,0,2,0,325,3,22,Matches
4e0c8d66,Michele Di Gregorio,it ITA,GK,Monza,25-286,1997,33.0,1312,1007,303,89,0,8,0,0,0,0,0,0,984,2,0,Matches
230a2fac,Giovanni Di Lorenzo,it ITA,DF,Napoli,29-278,1993,33.9,2485,2124,351,56,5,23,79,291,2,0,0,0,2101,10,55,Matches
19cda00b,Ángel Di María,ar ARG,"FW,MF",Juventus,35-084,1988,13.5,581,489,86,25,7,12,88,15,39,14,23,0,414,6,18,Matches
244bc2c8,Boulaye Dia,sn SEN,"FW,MF",Salernitana,26-174,1996,26.0,539,516,20,0,2,6,6,3,0,0,0,0,412,3,27,Matches
407feb71,Brahim Díaz,es ESP,"MF,FW",Milan,23-279,1999,18.2,604,570,31,6,9,2,16,9,5,0,4,0,487,3,15,Matches
970b8574,Federico Dimarco,it ITA,DF,Inter,25-180,1997,21.4,1178,975,201,37,0,21,196,104,55,13,35,0,863,2,20,Matches
933d3b51,Koffi Djidji,ci CIV,DF,Torino,30-160,1992,24.9,1329,1297,29,14,1,10,13,14,0,0,0,0,1147,3,19,Matches
6eee05f1,Berat Djimsiti,al ALB,DF,Atalanta,30-079,1993,16.2,899,860,38,23,0,1,0,14,0,0,0,0,770,1,8,Matches
b5f7d10b,Dodô,br BRA,DF,Fiorentina,24-173,1998,24.6,1452,1229,220,20,2,8,57,200,0,0,0,0,1180,3,27,Matches
2f69d881,Josh Doig,sct SCO,DF,Hellas Verona,20-356,2002,15.0,534,412,119,1,0,0,46,116,2,2,0,0,360,3,21,Matches
20b3a502,Nicolás Domínguez,ar ARG,MF,Bologna,24-315,1998,22.9,1254,1180,64,38,16,14,17,22,0,0,0,0,1022,10,23,Matches
22051fbe,Giulio Donati,it ITA,DF,Monza,33-093,1990,4.7,321,285,34,9,0,4,9,24,1,0,0,0,273,2,4,Matches
085e71a7,Bartłomiej Drągowski,pl POL,GK,Spezia,25-263,1997,29.7,1076,819,256,73,0,2,0,0,0,0,0,0,751,1,1,Matches
79ca3e23,Ondrej Duda,sk SVK,MF,Hellas Verona,28-155,1994,11.7,421,390,28,10,2,6,13,2,6,3,1,0,314,3,9,Matches
481c9ece,Denzel Dumfries,nl NED,DF,Inter,27-021,1996,22.5,915,755,157,4,1,1,78,153,0,0,0,0,678,3,22,Matches
528492ea,Alfred Duncan,gh GHA,MF,Fiorentina,30-060,1993,9.1,429,412,14,9,4,1,18,4,1,0,1,0,332,3,8,Matches
e0921a4f,Paulo Dybala,ar ARG,"MF,FW",Roma,29-175,1993,18.3,789,697,90,20,5,26,78,9,53,14,36,0,615,2,27,Matches
3bb7f478,Edin Džeko,ba BIH,FW,Inter,37-053,1986,18.7,501,479,19,1,6,7,24,1,0,0,0,0,344,3,16,Matches
dbfa4f16,Festy Ebosele,ie IRL,DF,Udinese,20-280,2002,3.9,129,115,14,1,1,0,15,13,0,0,0,0,91,0,5,Matches
