id,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,xG.1,xAG.1,xG+xAG,npxG.1,npxG+xAG.1,Matches
abf0cad0,Suleiman Abdullahi,ng NGA,"FW,MF",Union Berlin,22,1996,6,1,157,1.7,1,0,1,1,0,0,1,0,1.1,1.1,0.2,1.3,2,3,10,0.57,0.00,0.57,0.57,0.57,0.65,0.09,0.74,0.65,0.74,Matches
565bf0da,David Abraham,ar ARG,DF,Eint Frankfurt,33,1986,20,19,1688,18.8,2,0,2,2,0,0,2,1,1.6,1.6,0.1,1.7,18,99,12,0.11,0.00,0.11,0.11,0.11,0.08,0.01,0.09,0.08,0.09,Matches
1c08a3c8,Amir Abrashi,al ALB,MF,Freiburg,29,1990,13,8,663,7.4,0,0,0,0,0,0,3,0,0.5,0.5,0.1,0.6,8,27,13,0.00,0.00,0.00,0.00,0.00,0.07,0.02,0.08,0.07,0.08,Matches
2b09d998,Tyler Adams,us USA,"MF,DF",RB Leipzig,20,1999,14,10,953,10.6,0,0,0,0,0,0,0,0,0.4,0.4,0.6,1.0,11,34,49,0.00,0.00,0.00,0.00,0.00,0.04,0.06,0.10,0.04,0.10,Matches
22919e97,Sargis Adamyan,am ARM,"FW,MF",Hoffenheim,26,1993,15,6,746,8.3,5,1,6,5,0,0,1,0,5.9,5.9,0.6,6.5,19,16,67,0.60,0.12,0.72,0.60,0.72,0.71,0.08,0.78,0.71,0.78,Matches
89ac64a6,Manuel Akanji,ch SUI,DF,Dortmund,24,1995,29,25,2309,25.7,0,1,1,0,0,0,2,0,0.4,0.4,0.4,0.9,18,104,6,0.00,0.04,0.04,0.00,0.04,0.02,0.02,0.03,0.02,0.03,Matches
6ec6fde0,Kevin Akpoguma,ng NGA,DF,Hoffenheim,24,1995,18,12,1142,12.7,0,0,0,0,0,0,2,0,0.1,0.1,0.1,0.2,7,32,5,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.02,0.01,0.02,Matches
05439de2,David Alaba,at AUT,DF,Bayern Munich,27,1992,28,27,2498,27.8,1,1,2,1,0,0,0,0,1.0,1.0,2.4,3.3,69,285,42,0.04,0.04,0.07,0.04,0.07,0.03,0.08,0.12,0.03,0.12,Matches
834d0be5,Lucas Alario,ar ARG,FW,Leverkusen,26,1992,24,11,1174,13.0,7,1,8,6,1,1,6,0,7.3,6.5,1.6,8.1,7,16,63,0.54,0.08,0.61,0.46,0.54,0.56,0.12,0.68,0.50,0.62,Matches
a7a9d95a,Paco Alcácer,es ESP,FW,Dortmund,25,1993,11,6,530,5.9,5,1,6,5,0,0,0,0,3.9,3.9,0.9,4.8,1,8,37,0.85,0.17,1.02,0.85,1.02,0.67,0.14,0.81,0.67,0.81,Matches
