id,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
01226327,Ryan Bertrand,eng ENG,DF,Southampton,30,1989,28.9,5,0,0,29,35,3,82,30,32,0,1,0,89,37,53,41.1,Matches
6c203af0,Yves Bissouma,ml MLI,MF,Brighton,23,1996,34.6,8,1,0,55,32,0,7,64,68,0,0,0,271,38,22,63.3,Matches
ae5019e6,Jayden Bogle,eng ENG,"DF,MF",Sheffield Utd,20,2000,12.3,2,0,0,15,9,1,12,14,23,0,0,0,64,18,22,45.0,Matches
a4ac4b8f,Willy Boly,ci CIV,DF,Wolves,29,1991,20.9,2,0,0,15,8,0,0,32,20,0,1,0,88,55,25,68.8,Matches
79c84d1c,Jarrod Bowen,eng ENG,"FW,MF",West Ham,23,1996,28.5,0,0,0,15,54,15,122,22,15,0,0,0,134,23,51,31.1,Matches
96bb8cc2,Robbie Brady,ie IRL,MF,Burnley,28,1992,11.7,3,0,0,21,9,1,43,9,15,0,0,0,80,19,21,47.5,Matches
30e81a88,Rhian Brewster,eng ENG,"FW,MF",Sheffield Utd,20,2000,12.5,1,0,0,18,13,4,16,5,5,0,0,0,35,14,50,21.9,Matches
43309491,Nathan Broadhead,wls WAL,FW,Everton,22,1998,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,Matches
47369df8,Josh Brownhill,eng ENG,MF,Burnley,24,1995,31.3,2,0,0,36,32,2,17,69,27,0,0,0,195,63,53,54.3,Matches
af69e7f0,Joe Bryan,eng ENG,"DF,MF",Fulham,26,1993,7.4,2,0,0,10,7,0,48,14,8,1,1,0,38,6,3,66.7,Matches
c684d3c9,Kean Bryan,eng ENG,DF,Sheffield Utd,23,1996,11.2,1,0,0,13,2,0,17,13,10,0,0,1,54,31,19,62.0,Matches
f631c17f,Oliver Burke,sct SCO,FW,Sheffield Utd,23,1997,14.1,2,0,0,23,6,3,10,2,8,0,0,0,29,30,46,39.5,Matches
b2d31e83,Dan Burn,eng ENG,DF,Brighton,28,1992,22.9,5,0,0,35,6,4,37,31,26,0,1,1,109,95,41,69.9,Matches
cc70a1d5,Jack Butland,eng ENG,GK,Crystal Palace,27,1993,1.0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,,Matches
e608ed4c,David Button,eng ENG,GK,West Brom,31,1989,1.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,100.0,Matches
aa6f2f2c,Oskar Buur,dk DEN,DF,Wolves,22,1998,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,100.0,Matches
a179d516,Willy Caballero,ar ARG,GK,Chelsea,38,1981,1.0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,,Matches
7914b9fe,Gary Cahill,eng ENG,DF,Crystal Palace,34,1985,20.0,3,0,0,12,3,3,0,13,9,0,0,0,64,69,36,65.7,Matches
a8748947,Tom Cairney,sct SCO,MF,Fulham,29,1991,8.4,2,0,0,4,18,1,37,0,3,1,0,0,39,4,4,50.0,Matches
59e6e5bf,Dominic Calvert-Lewin,eng ENG,FW,Everton,23,1997,31.9,3,0,0,37,41,18,9,6,8,2,0,0,61,153,132,53.7,Matches
bd6351cd,João Cancelo,pt POR,"DF,MF",Manchester City,26,1994,25.5,5,1,0,36,18,2,72,41,41,0,0,0,162,30,29,50.8,Matches
55b4f1d6,Ian Carlo Poveda,eng ENG,MF,Leeds United,20,2000,3.9,0,0,0,5,6,2,9,1,4,0,0,0,19,0,1,0.0,Matches
b581987a,Andy Carroll,eng ENG,FW,Newcastle Utd,31,1989,4.4,1,0,0,12,10,4,0,0,1,0,0,0,7,52,26,66.7,Matches
3e1550ee,Scott Carson,eng ENG,GK,Manchester City,34,1985,1.0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,,Matches
966e28d0,Fabio Carvalho,pt POR,"MF,FW",Fulham,17,2002,2.8,0,0,0,4,2,0,4,1,6,0,0,0,12,1,4,20.0,Matches
2389cdc2,Matty Cash,pl POL,DF,Aston Villa,22,1997,26.4,8,1,1,35,22,2,81,60,40,0,2,0,134,34,39,46.6,Matches
58bc7d18,Kiko Casilla,es ESP,GK,Leeds United,33,1986,3.0,0,0,0,0,0,0,0,0,0,0,0,0,8,2,0,100.0,Matches
197640fd,Timothy Castagne,be BEL,DF,Leicester City,24,1995,26.1,1,0,0,20,14,1,46,29,32,0,0,0,129,40,43,48.2,Matches
e28868f3,Jonny Castro,es ESP,"MF,DF",Wolves,26,1994,5.5,0,0,0,7,11,0,9,9,5,0,0,0,25,5,2,71.4,Matches
979b811d,Ivan Cavaleiro,pt POR,FW,Fulham,26,1993,27.5,2,0,0,30,28,9,122,19,14,0,0,0,123,48,88,35.3,Matches
527f063d,Edinson Cavani,uy URU,FW,Manchester Utd,33,1987,15.3,4,0,0,21,13,6,4,6,8,0,0,0,41,10,17,37.0,Matches
c0617e2b,Dani Ceballos,es ESP,MF,Arsenal,23,1996,17.9,4,0,0,23,24,0,29,35,22,0,0,0,136,8,13,38.1,Matches
dc6f5bdd,Calum Chambers,eng ENG,DF,Arsenal,25,1995,8.4,0,0,0,7,2,0,33,10,3,0,0,0,42,20,18,52.6,Matches
d2424d1b,Ben Chilwell,eng ENG,DF,Chelsea,23,1996,25.4,3,0,0,23,41,8,136,24,22,0,0,0,122,38,33,53.5,Matches
7d2d3329,Hamza Choudhury,eng ENG,MF,Leicester City,22,1997,3.5,1,0,0,6,2,0,1,4,7,0,0,0,24,6,1,85.7,Matches
1cb49278,Andreas Christensen,dk DEN,DF,Chelsea,24,1996,15.2,2,1,0,9,7,0,0,20,6,0,0,0,85,38,18,67.9,Matches
b2f9c73e,Carney Chukwuemeka,eng ENG,"MF,FW",Aston Villa,16,2003,0.2,0,0,0,2,0,0,0,0,2,0,0,0,1,1,4,20.0,Matches
2b91cf8e,Ciaran Clark,ie IRL,DF,Newcastle Utd,30,1989,21.0,3,0,0,16,11,1,0,29,14,0,1,1,105,69,40,63.3,Matches
0442183b,Nathaniel Clyne,eng ENG,DF,Crystal Palace,29,1991,12.7,2,0,0,4,2,0,23,18,10,0,0,0,56,4,10,28.6,Matches
2928dca2,Conor Coady,eng ENG,DF,Wolves,27,1993,36.7,5,0,0,22,10,0,0,27,23,0,1,0,155,40,28,58.8,Matches
0420d84f,Séamus Coleman,ie IRL,"DF,MF",Everton,31,1988,17.9,0,0,0,12,17,0,35,13,26,0,0,0,124,9,11,45.0,Matches
27c01749,Aaron Connolly,ie IRL,FW,Brighton,20,2000,8.8,0,0,0,6,16,8,2,0,3,1,0,0,12,7,31,18.4,Matches
dc64b8b3,Liam Cooper,sct SCO,DF,Leeds United,28,1991,24.3,4,1,0,23,27,1,0,61,45,0,0,0,156,94,61,60.6,Matches
25b82f9a,Theo Corbeanu,ca CAN,FW,Wolves,18,2002,0.1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,,Matches
74e12f1e,Jack Cork,eng ENG,MF,Burnley,31,1989,15.0,2,0,0,21,12,0,5,16,10,0,0,0,89,32,28,53.3,Matches
f13d02a6,Hélder Costa,ao ANG,"MF,FW",Leeds United,26,1994,12.8,0,0,0,20,18,3,21,3,11,0,0,1,66,4,23,14.8,Matches
fdf3cb77,Vladimír Coufal,cz CZE,DF,West Ham,27,1992,33.9,3,0,0,29,34,0,132,41,36,0,0,0,169,50,42,54.3,Matches
4f974391,Aaron Cresswell,eng ENG,DF,West Ham,30,1989,35.2,3,0,0,13,18,0,207,32,13,0,0,0,195,35,29,54.7,Matches
a4fe8cda,Patrick Cutrone,it ITA,FW,Wolves,22,1998,0.3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0.0,Matches
67ca8566,Stuart Dallas,nir NIR,"MF,DF",Leeds United,29,1991,37.9,7,0,0,40,51,0,82,44,45,0,0,0,256,32,40,44.4,Matches
52105203,Scott Dann,eng ENG,DF,Crystal Palace,33,1987,15.0,1,0,0,6,5,0,0,18,4,0,0,0,73,51,29,63.8,Matches
cde3309f,Karl Darlow,eng ENG,GK,Newcastle Utd,29,1990,25.0,3,0,0,0,4,0,0,0,0,0,0,0,11,15,0,100.0,Matches
44781702,Ben Davies,wls WAL,DF,Tottenham,27,1993,15.0,1,0,0,19,13,1,33,18,17,1,0,0,52,26,23,53.1,Matches
9228b07c,Tom Davies,eng ENG,MF,Everton,22,1998,15.8,3,0,0,26,26,0,5,34,18,0,1,0,102,10,14,41.7,Matches
9deaf2c8,Keinan Davis,eng ENG,"FW,MF",Aston Villa,22,1998,3.1,0,0,0,4,5,0,4,0,1,0,0,0,10,18,16,52.9,Matches
8574c61f,Leif Davis,eng ENG,DF,Leeds United,20,2000,0.4,0,0,0,1,0,0,0,1,0,0,0,0,3,0,1,0.0,Matches
3e9e06cb,Craig Dawson,eng ENG,DF,West Ham,30,1990,21.4,5,1,1,14,12,2,0,32,8,0,0,2,92,56,25,69.1,Matches
e46012d4,Kevin De Bruyne,be BEL,MF,Manchester City,29,1991,22.2,1,0,0,27,31,1,146,9,21,2,0,0,116,4,10,28.6,Matches
dd897ee7,Liam Delap,eng ENG,FW,Manchester City,17,2003,0.4,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,50.0,Matches
111c3236,Fabian Delph,eng ENG,"MF,DF",Everton,30,1989,3.0,1,0,0,3,7,0,7,4,2,0,0,0,22,0,0,,Matches
5a7301ae,Leander Dendoncker,be BEL,"MF,DF",Wolves,25,1995,27.8,4,0,0,31,12,4,8,27,29,0,0,1,136,85,62,57.8,Matches
dda3969e,Mbaye Diagne,sn SEN,FW,West Brom,28,1991,13.2,2,0,0,17,23,17,4,1,3,0,0,0,28,52,91,36.4,Matches
9dc96f10,Amad Diallo,ci CIV,FW,Manchester Utd,18,2002,1.8,0,0,0,2,4,0,0,0,3,0,0,0,13,1,2,33.3,Matches
11ff3d56,Ibrahima Diallo,fr FRA,MF,Southampton,21,1999,11.3,3,0,0,22,11,0,7,10,16,0,1,0,71,10,17,37.0,Matches
f522d7ec,Grady Diangana,eng ENG,"MF,FW",West Brom,22,1998,13.7,0,0,0,11,35,4,20,16,19,0,0,0,69,22,33,40.0,Matches
31c69ef1,Rúben Dias,pt POR,DF,Manchester City,23,1997,31.6,4,0,0,21,20,1,2,35,13,0,2,1,135,61,39,61.0,Matches
ac861941,Eric Dier,eng ENG,DF,Tottenham,26,1994,28.0,3,0,0,16,12,0,5,23,14,0,2,0,139,85,58,59.4,Matches
1b84dbe1,Lucas Digne,fr FRA,"DF,MF",Everton,27,1993,29.8,2,1,0,33,22,4,215,31,38,0,0,0,141,92,42,68.7,Matches
a712ca2b,Issa Diop,fr FRA,DF,West Ham,23,1997,15.3,3,0,0,8,8,1,0,22,14,0,0,1,58,24,18,57.1,Matches
254147d4,Moussa Djenepo,ml MLI,MF,Southampton,22,1998,13.8,5,0,0,29,39,3,9,10,27,1,1,0,68,11,31,26.2,Matches
d557d734,Matt Doherty,ie IRL,DF,Tottenham,28,1992,13.8,4,1,1,20,12,0,31,23,15,0,1,0,57,49,25,66.2,Matches
67ac5bb8,Gabriel Dos Santos,br BRA,DF,Arsenal,22,1997,22.2,4,1,1,23,26,0,2,26,15,0,1,0,118,57,40,58.8,Matches
02b29014,Abdoulaye Doucouré,ml MLI,MF,Everton,27,1993,27.1,6,0,0,23,12,0,9,39,32,0,0,0,186,38,19,66.7,Matches
3a949a25,Martin Dúbravka,sk SVK,GK,Newcastle Utd,31,1989,13.0,0,0,0,0,5,0,0,0,0,0,0,0,18,4,0,100.0,Matches
3fe6bd8c,Paul Dummett,wls WAL,DF,Newcastle Utd,28,1991,13.9,2,0,0,9,4,0,10,16,7,0,0,0,44,39,31,55.7,Matches
282f75f3,Lewis Dunk,eng ENG,DF,Brighton,28,1991,32.6,5,2,0,22,20,2,1,32,15,0,0,1,223,78,37,67.8,Matches
1fdfd6da,Jimmy Dunne,ie IRL,DF,Burnley,22,1997,3.0,1,0,0,2,3,0,0,6,3,0,0,0,23,23,6,79.3,Matches
3bb7b8b4,Ederson,br BRA,GK,Manchester City,26,1993,36.0,3,0,0,1,4,0,0,0,1,0,0,0,47,6,1,85.7,Matches
1566e437,Kyle Edwards,eng ENG,"MF,FW",West Brom,22,1998,1.3,0,0,0,1,1,0,1,1,2,0,0,0,7,0,0,,Matches
debe38a0,John Egan,ie IRL,DF,Sheffield Utd,27,1992,29.2,7,1,0,29,10,0,4,41,21,0,0,0,129,80,56,58.8,Matches
2fba6108,Anthony Elanga,se SWE,FW,Manchester Utd,18,2002,1.7,0,0,0,2,4,1,2,1,2,0,0,0,9,1,4,20.0,Matches
615ef733,Ahmed Elmohamady,eg EGY,DF,Aston Villa,32,1987,9.3,2,0,0,6,3,0,39,17,13,0,0,0,63,18,9,66.7,Matches
47a34c4f,Mohamed Elneny,eg EGY,MF,Arsenal,28,1992,17.2,3,0,0,10,10,0,2,24,6,0,0,0,92,7,24,22.6,Matches
f8fcd2a5,Jonny Evans,nir NIR,DF,Leicester City,32,1988,27.5,7,0,0,18,12,1,0,46,12,0,0,1,190,92,36,71.9,Matches
ae4fc6a4,Eberechi Eze,eng ENG,MF,Crystal Palace,22,1998,28.4,3,0,0,18,72,1,86,24,14,0,0,0,178,12,29,29.3,Matches
9328b835,Łukasz Fabiański,pl POL,GK,West Ham,35,1985,35.0,2,0,0,1,2,0,0,1,0,0,1,0,28,3,0,100.0,Matches
7f3b388c,Fabinho,br BRA,"DF,MF",Liverpool,26,1993,28.5,6,0,0,29,27,0,1,44,31,1,2,0,208,54,52,50.9,Matches
507c7bdf,Bruno Fernandes,pt POR,MF,Manchester Utd,25,1994,34.4,6,0,0,43,52,3,166,26,30,0,1,0,162,15,41,26.8,Matches
f25b010f,Federico Fernández,ar ARG,DF,Newcastle Utd,31,1989,23.1,4,0,0,15,15,0,13,17,22,0,1,1,91,48,29,62.3,Matches
101da2b5,Fernandinho,br BRA,MF,Manchester City,35,1985,13.2,6,0,0,22,11,0,6,23,17,0,0,0,91,30,18,62.5,Matches
bd8a7d05,Sam Field,eng ENG,MF,West Brom,22,1998,0.7,0,0,0,2,1,0,0,2,5,0,0,0,7,3,2,60.0,Matches
4c370d81,Roberto Firmino,br BRA,FW,Liverpool,28,1991,31.5,2,0,0,22,16,4,14,11,15,0,0,0,109,22,74,22.9,Matches
b63e789d,John Fleck,sct SCO,MF,Sheffield Utd,28,1991,28.6,4,0,0,33,28,0,96,28,33,0,0,0,156,12,20,37.5,Matches
ed1e53f3,Phil Foden,eng ENG,"FW,MF",Manchester City,20,2000,18.0,0,0,0,12,34,3,74,11,11,0,0,0,72,16,26,38.1,Matches
132a82f1,Wesley Fofana,fr FRA,DF,Leicester City,19,2000,25.1,7,0,0,37,29,2,2,61,37,1,1,0,181,88,60,59.5,Matches
82927de4,Pablo Fornals,es ESP,"FW,MF",West Ham,24,1996,28.6,3,0,0,26,17,7,45,36,26,0,0,0,163,23,38,37.7,Matches
c3e39f12,Fraser Forster,eng ENG,GK,Southampton,32,1988,8.0,0,0,0,1,3,0,0,0,0,0,1,0,7,2,0,100.0,Matches
a9142dc3,Timothy Fosu-Mensah,nl NED,DF,Manchester Utd,22,1998,0.9,1,0,0,1,0,1,4,3,0,0,0,0,7,1,1,50.0,Matches
6722d4f0,Tyrese Francois,au AUS,DF,Fulham,20,2000,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,Matches
d56543a0,Ryan Fraser,sct SCO,"FW,MF",Newcastle Utd,26,1994,10.3,2,1,1,5,20,0,103,6,1,1,0,0,30,5,22,18.5,Matches
b853e0ad,Fred,br BRA,MF,Manchester Utd,27,1993,26.6,5,0,0,45,30,1,9,45,39,0,0,0,228,9,14,39.1,Matches
c067631c,Ryan Fredericks,eng ENG,"DF,FW",West Ham,27,1992,6.3,2,0,0,11,10,1,23,11,5,0,0,0,30,6,13,31.6,Matches
a67a09fb,Christian Fuchs,at AUT,DF,Leicester City,34,1986,7.8,4,0,0,14,5,0,11,16,7,0,1,0,42,19,13,59.4,Matches
3ec9195b,Darnell Furlong,eng ENG,DF,West Brom,24,1995,32.6,5,0,0,34,33,3,99,49,27,0,2,1,98,117,88,57.1,Matches
c2731c10,Conor Gallagher,eng ENG,MF,West Brom,20,2000,28.1,11,0,0,43,63,0,66,27,41,0,0,0,185,22,36,37.9,Matches
2bed3eab,Eric García,es ESP,DF,Manchester City,19,2001,4.3,0,0,0,4,2,0,0,4,7,0,1,0,19,3,8,27.3,Matches
e58a03c6,Dwight Gayle,eng ENG,"FW,MF",Newcastle Utd,29,1990,5.7,0,0,0,6,6,3,5,1,0,0,0,0,9,11,16,40.7,Matches
6bd603db,Jean-Philippe Gbamin,ci CIV,MF,Everton,24,1995,0.1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,,Matches
7ba6d84e,David de Gea,es ESP,GK,Manchester Utd,29,1990,25.5,0,0,0,0,3,0,0,0,0,0,0,0,32,4,1,80.0,Matches
ffa90327,Anwar El Ghazi,nl NED,FW,Aston Villa,25,1995,17.9,2,0,0,18,28,5,87,6,13,0,0,0,67,28,49,36.4,Matches
46ee5234,Kieran Gibbs,eng ENG,DF,West Brom,30,1989,9.0,1,1,0,6,2,0,11,16,11,0,0,0,47,9,16,36.0,Matches
32f60ed8,Morgan Gibbs-White,eng ENG,"MF,FW",Wolves,20,2000,4.6,1,0,0,5,10,1,11,3,7,0,0,0,27,2,7,22.2,Matches
df10e27c,Billy Gilmour,sct SCO,MF,Chelsea,19,2001,2.9,0,0,0,2,2,0,2,3,2,0,1,0,11,2,2,50.0,Matches
16ceb862,Olivier Giroud,fr FRA,FW,Chelsea,33,1986,8.3,1,0,0,15,6,6,2,5,2,0,0,0,22,23,33,41.1,Matches
9f7c837d,Ben Godfrey,eng ENG,DF,Everton,22,1998,29.8,4,0,0,15,17,4,6,33,33,0,1,1,136,57,32,64.0,Matches
