,id,MP,Min,90s,Starts,Compl,Subs,unSub,PPM,onG,onGA,+/-,onxG,onxGA,xG+/-,MinGK,MPGK,StartsGK,90sGK
0,00242b75,21,1353,15,15,8,6,2,1,28,20,8,21.9,23.7,-1.8,2070,23,23,23
1,00963611,20,1688,18,19,17,1,0,0,23,33,-10,23.5,25.3,-1.7,1440,16,16,16
2,009a4f60,19,1575,17,18,12,1,1,4,37,21,16,22.5,21.7,0.8999999999999999,360,4,4,4
3,00f518d8,10,127,1,0,0,10,8,1,2,4,-2,2.6,2.4,0.2,2070,23,23,23
4,0118c54c,20,1306,14,14,10,6,3,1,28,23,5,20.5,20.8,-0.3,2070,23,23,23
5,01834aa0,17,1243,13,15,11,2,5,1,31,19,12,19.8,19.4,0.4,540,6,6,6
6,028e70b9,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,540,6,6,6
7,042e8a49,16,875,9,9,2,7,0,2,30,6,24,22.4,6.6,15.8,2070,23,23,23
8,048a1cbc,17,1480,16,17,12,0,3,1,34,25,9,30.0,20.7,9.3,1710,19,19,19
9,049751d7,13,754,8,9,1,4,1,2,9,5,4,7.6,7.3,0.3,360,4,4,4
10,054849d2,16,1188,13,14,8,2,0,1,17,20,-3,15.0,18.8,-3.7,540,6,6,6
11,056d2d95,19,1469,16,16,15,3,4,1,21,20,1,17.4,17.7,-0.2,1979,22,22,22
12,05ba9d7c,5,143,1,0,0,5,6,0,3,2,1,1.8,2.6,-0.8,180,2,2,2
13,05d548d8,19,1255,13,15,11,4,3,2,27,15,12,24.5,17.1,7.4,1620,18,18,18
14,05e2d5ea,10,211,2,0,0,10,5,1,3,4,-1,2.5,3.5,-1.1,360,4,4,4
15,05f99a4a,11,533,5,7,0,4,0,1,7,12,-5,8.5,9.8,-1.3,90,1,1,1
16,061e8e23,7,173,1,1,0,6,4,2,0,2,-2,1.6,3.5,-1.8,450,5,5,5
17,0674ebf1,0,0,0,0,0,0,3,0,0,0,0,0.0,0.0,0.0,1710,19,19,19
18,07c7eb0c,22,1923,21,22,19,0,0,1,26,50,-24,21.2,40.9,-19.8,1080,12,12,12
19,07d3bfec,7,263,2,3,0,4,4,0,3,6,-3,3.5,5.4,-1.9,90,1,1,1
20,0810b6df,0,0,0,0,0,0,5,0,0,0,0,0.0,0.0,0.0,570,7,7,6
21,08593525,2,34,0,1,0,1,4,1,0,0,0,0.6,0.1,0.5,2008,23,23,22
22,088ca1bd,0,0,0,0,0,0,5,0,0,0,0,0.0,0.0,0.0,90,1,1,1
23,091c86e2,19,953,10,9,3,10,1,1,19,12,7,15.0,17.1,-2.2,2160,24,24,24
24,099e666f,20,1598,17,18,16,2,2,0,20,32,-12,19.1,29.8,-10.7,1710,19,19,19
25,0a084b35,3,270,3,3,3,0,4,2,4,2,2,3.4,2.2,1.2,2160,24,24,24
26,0a16eb36,18,652,7,6,1,12,4,0,5,17,-12,6.5,12.4,-6.0,1530,17,17,17
27,0a1cb833,23,2008,22,23,22,0,0,1,35,42,-7,25.9,34.8,-8.9,420,5,4,4
28,0a3c1b17,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,900,10,10,10
29,0a3f6cde,19,1148,12,12,4,7,2,1,19,26,-7,14.6,20.9,-6.2,720,8,8,8
30,0a89e877,20,1503,16,16,11,4,2,1,28,27,1,26.6,20.1,6.5,1980,22,22,22
31,0b45a8d7,1,5,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,270,3,3,3
32,0c61c77c,22,1659,18,19,9,3,0,0,23,35,-12,19.3,31.0,-11.7,1530,17,17,17
33,0c7a48f8,20,1581,17,17,10,3,0,1,32,23,9,25.9,21.3,4.6,62,1,0,0
34,0c88efca,0,0,0,0,0,0,2,0,0,0,0,0.0,0.0,0.0,0,0,0,0
35,0cc5f4a5,15,872,9,10,5,5,2,1,12,15,-3,9.9,13.8,-3.9,0,0,0,0
36,0cf778df,22,1412,15,16,1,6,0,0,19,26,-7,18.6,21.3,-2.6,0,0,0,0
37,0d55d942,17,1530,17,17,17,0,6,0,14,41,-27,18.7,28.1,-9.4,0,0,0,0
38,0d8a37c2,5,420,4,4,4,1,9,0,5,9,-4,4.9,5.9,-1.0,0,0,0,0
39,0e0102eb,22,1006,11,10,0,12,1,1,20,17,3,15.4,17.3,-1.9,0,0,0,0
40,0e6bc38c,17,1024,11,13,4,4,1,2,33,12,21,25.6,12.3,13.3,0,0,0,0
41,0f59a7bf,20,1340,14,14,5,6,1,1,21,23,-2,20.9,21.3,-0.4,0,0,0,0
42,0fbecd11,20,1572,17,19,14,1,1,1,27,22,5,22.0,23.6,-1.6,0,0,0,0
43,1025db8e,22,1916,21,22,21,0,0,1,26,35,-9,23.3,35.2,-11.9,0,0,0,0
44,10549b49,13,554,6,5,2,8,2,0,9,11,-2,12.1,8.0,4.1,0,0,0,0
45,10745192,12,422,4,3,0,9,0,2,15,3,12,9.6,6.5,3.1,0,0,0,0
46,109bd9ea,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0,0,0,0
47,1238a3f9,20,577,6,6,1,14,2,1,5,13,-8,5.8,8.3,-2.6,0,0,0,0
48,13203c45,10,258,2,3,0,7,1,4,4,4,0,3.3,4.5,-1.3,0,0,0,0
49,13d23b29,1,13,0,0,0,1,7,0,0,0,0,0.1,0.0,0.1,0,0,0,0
50,13ddc856,15,937,10,12,2,3,0,0,12,26,-14,11.6,20.5,-8.9,0,0,0,0
51,13fe7b69,10,157,1,0,0,10,9,2,6,2,4,3.8,2.9,0.9,0,0,0,0
52,14a7af33,19,1377,15,17,4,2,1,1,25,32,-7,18.9,22.2,-3.3,0,0,0,0
53,15413fa5,19,1341,14,16,9,3,2,2,28,16,12,25.8,19.2,6.6,0,0,0,0
54,15b287da,21,1547,17,18,9,3,1,1,39,24,15,28.0,20.6,7.4,0,0,0,0
55,15f24fe7,3,233,2,3,1,0,0,0,3,3,0,2.9,1.4,1.5,0,0,0,0
56,15f3ec41,13,597,6,7,0,6,3,1,11,13,-2,9.3,8.8,0.5,0,0,0,0
57,170ad16a,0,0,0,0,0,0,3,0,0,0,0,0.0,0.0,0.0,0,0,0,0
58,17376543,19,1710,19,19,19,0,0,1,21,30,-9,20.0,29.3,-9.3,0,0,0,0
59,1866b0f1,1,11,0,0,0,1,1,0,0,1,-1,0.5,0.4,0.1,0,0,0,0
60,19a967ab,18,1031,11,12,5,6,2,1,18,20,-2,12.9,18.1,-5.2,0,0,0,0
61,1a4b9094,0,0,0,0,0,0,7,0,0,0,0,0.0,0.0,0.0,0,0,0,0
62,1a5d7cb9,0,0,0,0,0,0,3,0,0,0,0,0.0,0.0,0.0,0,0,0,0
63,1ae836b1,20,1678,18,20,11,0,0,1,22,30,-8,19.4,30.9,-11.6,0,0,0,0
64,1c86aa16,1,4,0,0,0,1,6,3,0,0,0,0.0,0.0,0.0,0,0,0,0
65,1cbe4984,20,1648,18,20,13,0,2,1,30,21,9,24.1,25.9,-1.8,0,0,0,0
66,1d8e9add,18,1468,16,18,14,0,0,1,22,23,-1,24.6,22.4,2.2,0,0,0,0
67,1df0c0b9,19,1551,17,17,15,2,1,1,22,26,-4,19.8,26.5,-6.7,0,0,0,0
68,1e274a0a,15,322,3,1,0,14,6,1,6,3,3,4.7,2.3,2.4,0,0,0,0
69,1e43fad8,6,540,6,6,6,0,15,1,4,1,3,6.2,6.0,0.2,0,0,0,0
70,1f2c7b55,1,13,0,0,0,1,4,1,0,0,0,0.0,0.0,0.0,0,0,0,0
71,1f3afdcb,17,893,9,10,6,7,5,1,22,16,6,18.5,13.8,4.8,0,0,0,0
72,1fc4f3d1,21,1149,12,13,4,8,1,1,19,27,-8,15.3,24.0,-8.7,0,0,0,0
73,1fffae99,22,1056,11,12,1,10,1,1,17,20,-3,11.3,14.7,-3.4,0,0,0,0
74,20030c06,22,1961,21,22,21,0,1,1,44,27,17,39.2,22.7,16.5,0,0,0,0
75,202b3b68,20,1255,13,15,2,5,2,1,32,14,18,21.8,18.8,2.9,0,0,0,0
76,204dded0,21,1751,19,20,18,1,1,0,22,30,-8,24.6,25.4,-0.8,0,0,0,0
77,2077ae86,13,622,6,7,1,6,1,1,14,8,6,10.3,9.8,0.5,0,0,0,0
78,220ace7e,18,1064,11,11,3,7,0,1,16,19,-3,14.2,17.9,-3.7,0,0,0,0
79,22798128,5,342,3,4,1,1,0,1,3,5,-2,2.5,6.1,-3.7,0,0,0,0
80,22919e97,21,576,6,3,0,18,3,1,10,12,-2,10.2,9.9,0.3,0,0,0,0
81,231c67ff,4,19,0,0,0,4,1,2,1,0,1,1.2,0.1,1.1,0,0,0,0
82,236f02cd,21,1704,18,19,11,2,2,1,34,28,6,27.1,27.3,-0.2,0,0,0,0
83,25877714,0,0,0,0,0,0,5,0,0,0,0,0.0,0.0,0.0,0,0,0,0
84,25ab9c9c,8,148,1,2,0,6,7,2,0,5,-5,0.7,3.0,-2.3,0,0,0,0
85,271b8617,17,822,9,10,1,7,2,1,18,8,10,12.4,10.5,1.9,0,0,0,0
86,27270af4,3,93,1,0,0,3,10,1,1,4,-3,1.0,2.6,-1.5,0,0,0,0
87,2770726a,12,559,6,7,0,5,2,1,7,11,-4,9.0,7.6,1.4,0,0,0,0
88,277c49ed,18,1211,13,13,9,5,5,1,20,21,-1,18.1,19.5,-1.4,0,0,0,0
89,27d2618c,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0,0,0,0
90,2903a856,20,1762,19,20,10,0,0,1,31,31,0,28.3,28.4,-0.1,0,0,0,0
91,2979c05a,17,832,9,8,2,9,3,0,6,23,-17,7.8,20.6,-12.8,0,0,0,0
92,29ddfb9c,1,15,0,0,0,1,2,1,0,0,0,0.1,0.4,-0.3,0,0,0,0
93,29f7cfd9,19,1275,14,17,4,2,1,0,15,33,-18,14.2,29.0,-14.8,0,0,0,0
94,2a29eb9b,12,1041,11,12,7,0,6,2,21,12,9,18.8,15.0,3.8,0,0,0,0
95,2b114be3,21,1309,14,13,6,8,0,2,36,13,23,27.2,14.2,12.9,0,0,0,0
96,2b7c56b4,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0,0,0,0
97,2b83fa49,2,59,0,1,0,1,8,1,0,2,-2,0.2,1.4,-1.2,0,0,0,0
98,2c0558b8,22,1557,17,19,5,3,0,2,47,16,31,36.8,18.3,18.5,0,0,0,0
99,2d61d13a,21,1766,19,21,17,0,0,0,24,32,-8,28.0,29.4,-1.4,0,0,0,0
100,2e77d607,7,597,6,7,6,0,1,2,16,9,7,10.8,9.5,1.3,0,0,0,0
101,2f3e911a,19,1444,16,17,12,2,4,1,21,25,-4,20.8,23.4,-2.6,0,0,0,0
102,2f7fec15,10,241,2,2,0,8,9,0,6,6,0,5.7,3.9,1.9,0,0,0,0
103,302527b2,23,2011,22,22,21,1,0,1,35,28,7,33.4,30.5,2.9,0,0,0,0
104,30261ba1,7,376,4,4,1,3,8,0,5,7,-2,5.8,6.5,-0.7,0,0,0,0
105,30941e96,22,1867,20,21,18,1,0,0,25,39,-14,28.2,32.4,-4.2,0,0,0,0
106,309ff595,0,0,0,0,0,0,2,0,0,0,0,0.0,0.0,0.0,0,0,0,0
107,30ae134d,23,919,10,9,0,14,0,1,18,15,3,9.9,11.1,-1.2,0,0,0,0
108,30c220c3,20,1659,18,19,14,1,0,1,27,36,-9,21.9,27.9,-6.0,0,0,0,0
109,313254a3,20,1625,18,19,16,1,2,1,26,26,0,25.1,26.4,-1.3,0,0,0,0
110,33182cb8,8,450,5,5,0,3,0,1,4,7,-3,5.9,7.3,-1.4,0,0,0,0
111,33b554b7,13,460,5,4,2,9,6,0,3,14,-11,6.7,7.5,-0.8,0,0,0,0
