id,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,xG.1,xAG.1,xG+xAG,npxG.1,npxG+xAG.1,Matches
32c2d95f,Yunis Abdelhamid,ma MAR,DF,Reims,31,1987,28,28,2520,28.0,3,0,3,3,0,0,0,0,1.7,1.7,1.2,2.9,21,96,6,0.11,0.00,0.11,0.11,0.11,0.06,0.04,0.10,0.06,0.10,Matches
a4c3f7af,Mehdi Abeid,dz ALG,MF,Nantes,26,1992,25,20,1817,20.2,1,2,3,1,0,0,5,0,1.5,1.5,1.8,3.3,25,104,42,0.05,0.10,0.15,0.05,0.15,0.07,0.09,0.16,0.07,0.16,Matches
469d3d84,Charles Abi,fr FRA,FW,Saint-Étienne,19,2000,15,6,623,6.9,0,0,0,0,0,0,2,0,0.3,0.3,1.2,1.5,12,10,33,0.00,0.00,0.00,0.00,0.00,0.05,0.17,0.22,0.05,0.22,Matches
dcfb17f4,Amine Adli,fr FRA,"MF,FW",Toulouse,19,2000,4,0,46,0.5,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1,4,3,5,0.00,0.00,0.00,0.00,0.00,0.00,0.13,0.13,0.00,0.13,Matches
26777636,Yacine Adli,fr FRA,MF,Bordeaux,19,2000,21,11,1020,11.3,3,3,6,3,0,0,3,0,0.8,0.8,2.2,3.0,38,65,47,0.26,0.26,0.53,0.26,0.53,0.07,0.19,0.26,0.07,0.26,Matches
288e1e13,Nayef Aguerd,ma MAR,DF,Dijon,23,1996,11,11,957,10.6,1,0,1,1,0,0,2,0,0.3,0.3,0.0,0.3,0,27,0,0.09,0.00,0.09,0.09,0.09,0.03,0.00,0.03,0.03,0.03,Matches
3dd738a1,Ruben Aguilar,fr FRA,DF,Monaco,26,1993,19,11,1072,11.9,0,2,2,0,0,0,2,2,0.2,0.2,1.8,2.0,32,52,80,0.00,0.17,0.17,0.00,0.17,0.02,0.15,0.17,0.02,0.17,Matches
48b28bfd,Jean-Eudes Aholou,ci CIV,MF,Saint-Étienne,25,1994,11,8,630,7.0,1,1,2,1,0,0,3,1,0.7,0.7,0.5,1.2,14,34,15,0.14,0.14,0.29,0.14,0.29,0.10,0.08,0.17,0.10,0.17,Matches
c46fa34c,Youssef Aït Bennasser,ma MAR,MF,Bordeaux,23,1996,12,6,536,6.0,0,1,1,0,0,0,1,0,0.1,0.1,0.1,0.2,6,47,6,0.00,0.17,0.17,0.00,0.17,0.01,0.02,0.03,0.01,0.03,Matches
9b398aea,Rayan Aït Nouri,fr FRA,DF,Angers,18,2001,17,16,1282,14.2,0,2,2,0,0,0,3,0,0.2,0.2,0.7,0.8,45,56,69,0.00,0.14,0.14,0.00,0.14,0.01,0.05,0.06,0.01,0.06,Matches
