id,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%.1,Matches
f76e6b4e,Adrián,es ESP,GK,Liverpool,32,1987,11,9,875,9.7,10,1.03,27,17,63.0,9,0,0,2,22.2,0,0,0,0,,Matches
7a2e46a8,Alisson,br BRA,GK,Liverpool,26,1992,29,29,2543,28.3,23,0.81,80,58,72.5,23,3,3,13,44.8,1,1,0,0,0.0,Matches
28d596a0,Kepa Arrizabalaga,es ESP,GK,Chelsea,24,1994,33,33,2970,33.0,47,1.42,99,54,54.5,18,4,11,8,24.2,2,2,0,0,0.0,Matches
10072610,Claudio Bravo,cl CHI,GK,Manchester City,36,1983,4,3,347,3.9,7,1.82,15,8,53.3,2,0,1,1,33.3,0,0,0,0,,Matches
a179d516,Willy Caballero,ar ARG,GK,Chelsea,37,1981,5,5,450,5.0,7,1.40,16,10,56.3,2,2,1,1,20.0,0,0,0,0,,Matches
3a949a25,Martin Dúbravka,sk SVK,GK,Newcastle Utd,30,1989,38,38,3420,38.0,58,1.53,195,139,71.3,11,11,16,11,28.9,2,2,0,0,0.0,Matches
3bb7b8b4,Ederson,br BRA,GK,Manchester City,25,1993,35,35,3071,34.1,28,0.82,95,68,73.7,24,3,8,16,45.7,3,3,0,0,0.0,Matches
9328b835,Łukasz Fabiański,pl POL,GK,West Ham,34,1985,25,25,2117,23.5,34,1.45,104,71,70.2,8,7,10,5,20.0,4,3,1,0,25.0,Matches
1e43fad8,Ralf Fährmann,de GER,GK,Norwich City,30,1988,1,1,21,0.2,1,4.29,2,1,100.0,,,1,,,,1,,,,Matches
d0b3ceb9,Ben Foster,eng ENG,GK,Watford,36,1983,38,38,3420,38.0,64,1.68,178,116,68.5,8,10,20,9,23.7,9,8,1,0,11.1,Matches
63d17038,Paulo Gazzaniga,ar ARG,GK,Tottenham,27,1992,18,17,1613,17.9,26,1.45,82,56,72.0,5,5,7,2,11.8,4,3,1,0,25.0,Matches
7ba6d84e,David de Gea,es ESP,GK,Manchester Utd,28,1990,38,38,3420,38.0,36,0.95,131,96,74.8,18,12,8,13,34.2,3,3,0,0,0.0,Matches
ab13a5aa,Vicente Guaita,es ESP,GK,Crystal Palace,32,1987,35,35,3150,35.0,42,1.20,149,109,71.8,11,9,15,10,28.6,1,0,0,1,,Matches
e082af5b,Angus Gunn,eng ENG,GK,Southampton,23,1996,10,10,900,10.0,25,2.50,55,30,58.2,2,2,6,2,20.0,2,2,0,0,0.0,Matches
a6de6361,Tom Heaton,eng ENG,GK,Aston Villa,33,1986,20,20,1794,19.9,35,1.76,102,68,68.6,6,3,11,4,20.0,3,3,0,0,0.0,Matches
e5a76dfe,Dean Henderson,eng ENG,GK,Sheffield Utd,22,1997,36,36,3240,36.0,33,0.92,128,94,75.0,14,11,11,13,36.1,3,1,1,1,50.0,Matches
76eca7e2,Wayne Hennessey,wls WAL,GK,Crystal Palace,32,1987,3,3,270,3.0,8,2.67,23,15,65.2,0,1,2,0,0.0,0,0,0,0,,Matches
f23f9d20,Tim Krul,nl NED,GK,Norwich City,31,1988,36,36,3240,36.0,68,1.89,195,128,66.7,5,6,25,5,13.9,5,3,2,0,40.0,Matches
2628fd2b,Bernd Leno,de GER,GK,Arsenal,27,1992,30,30,2649,29.4,39,1.33,151,111,78.1,9,13,8,7,23.3,7,6,1,0,14.3,Matches
8f62b6ee,Hugo Lloris,fr FRA,GK,Tottenham,32,1986,21,21,1807,20.1,21,1.05,99,78,80.8,11,6,4,6,28.6,3,2,1,0,33.3,Matches
07666c20,David Martin,eng ENG,GK,West Ham,33,1986,5,4,436,4.8,6,1.24,21,15,71.4,2,0,2,2,50.0,0,0,0,0,,Matches
7956236f,Emiliano Martínez,ar ARG,GK,Arsenal,26,1992,9,8,771,8.6,9,1.05,42,33,81.0,5,1,2,3,37.5,1,1,0,0,0.0,Matches
36c2ca73,Alex McCarthy,eng ENG,GK,Southampton,29,1989,28,28,2520,28.0,35,1.25,113,78,69.9,13,5,10,7,25.0,2,1,1,0,50.0,Matches
51a19d04,Michael McGovern,nir NIR,GK,Norwich City,35,1984,2,1,159,1.8,6,3.40,13,6,53.8,0,0,1,0,0.0,1,0,1,0,100.0,Matches
e7434f04,Simon Moore,eng ENG,GK,Sheffield Utd,29,1990,2,2,180,2.0,6,3.00,11,5,45.5,0,1,1,0,0.0,0,0,0,0,,Matches
bdedffac,Ørjan Nyland,no NOR,GK,Aston Villa,28,1990,7,5,539,6.0,12,2.00,27,15,55.6,0,2,3,1,20.0,0,0,0,0,,Matches
79b0d6a0,Rui Patrício,pt POR,GK,Wolves,31,1988,38,38,3420,38.0,40,1.05,129,88,69.8,15,14,9,13,34.2,3,1,2,0,66.7,Matches
