id,Player,Nation,Pos,Squad,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off.1,Matches
5f09991f,Patrick van Aanholt,nl NED,DF,Crystal Palace,26,1990,28,2184,78,63.9,24.3,25,,21,3,,8,1.21,31,38,-7,-0.29,-0.07,32.2,34.7,-2.5,-0.10,-0.66,Matches
c5942695,Rolando Aarons,eng ENG,"MF,FW",Newcastle Utd,21,1995,4,139,35,4.1,1.5,1,,0,3,,7,0.25,1,2,-1,-0.65,-0.46,0.4,2.9,-2.6,-1.66,-1.43,Matches
f586779e,Tammy Abraham,eng ENG,FW,Swansea City,19,1997,31,1726,56,50.5,19.2,15,,9,16,,2,0.81,15,31,-16,-0.83,-0.20,16.9,31.8,-14.8,-0.77,-0.13,Matches
aff418dc,Charlie Adam,sct SCO,MF,Stoke City,31,1985,11,411,37,12.0,4.6,5,,1,6,,21,0.91,2,7,-5,-1.09,-0.26,5.4,8.0,-2.5,-0.56,+0.15,Matches
c81d773d,Tosin Adarabioyo,eng ENG,DF,Manchester City,19,1997,0,,,,,0,,0,0,,7,,,,,,,,,,,,Matches
f76e6b4e,Adrián,es ESP,GK,West Ham,30,1987,19,1710,90,50.0,19.0,19,,19,0,,19,1.42,30,29,+1,+0.05,+1.16,19.2,28.4,-9.2,-0.48,0.00,Matches
9a8c6673,Ibrahim Afellay,nl NED,MF,Stoke City,31,1986,6,166,28,4.9,1.8,1,,0,5,,10,1.00,2,9,-7,-3.80,-3.08,0.9,5.4,-4.4,-2.40,-1.81,Matches
b63f4077,Benik Afobe,cd COD,FW,Bournemouth,24,1993,17,611,36,17.9,6.8,5,,1,12,,4,1.06,5,12,-7,-1.03,-0.74,6.5,12.7,-6.2,-1.04,-0.60,Matches
4d034881,Sergio Agüero,ar ARG,FW,Manchester City,29,1988,25,1963,79,57.4,21.8,22,,13,3,,4,2.52,63,12,+51,+2.34,+0.61,45.8,13.1,+32.7,+1.50,+0.13,Matches
eaeca114,Nathan Aké,nl NED,DF,Bournemouth,22,1995,38,3353,88,98.0,37.3,37,,36,1,,0,1.16,44,59,-15,-0.40,+0.94,37.9,56.9,-19.0,-0.51,+1.46,Matches
b827d5b3,Marc Albrighton,eng ENG,"MF,FW",Leicester City,27,1989,34,2538,75,74.2,28.2,30,,19,4,,1,1.29,35,39,-4,-0.14,-0.14,35.6,34.9,+0.7,+0.02,-0.10,Matches
f7d50789,Toby Alderweireld,be BEL,DF,Tottenham,28,1989,14,1178,84,34.4,13.1,13,,13,1,,1,1.93,25,13,+12,+0.92,-0.13,20.7,10.1,+10.6,+0.81,0.00,Matches
cd1acf9d,Trent Alexander-Arnold,eng ENG,DF,Liverpool,18,1998,19,1573,83,46.0,17.5,18,,14,1,,16,1.89,39,17,+22,+1.26,+0.09,33.8,15.7,+18.1,+1.03,+0.01,Matches
9feb8f24,Joe Allen,wls WAL,MF,Stoke City,27,1990,36,3139,87,91.8,34.9,36,,33,0,,1,0.92,30,55,-25,-0.72,+1.85,33.6,52.2,-18.6,-0.53,+1.87,Matches
cea4ee8f,Dele Alli,eng ENG,"MF,FW",Tottenham,21,1996,36,2958,82,86.5,32.9,34,,18,2,,0,2.03,63,28,+35,+1.06,+0.48,54.1,25.7,+28.5,+0.87,+0.41,Matches
f4290206,Marcos Alonso,es ESP,"DF,MF",Chelsea,26,1990,33,2855,87,83.5,31.7,33,,28,0,,1,1.85,48,30,+18,+0.57,-0.39,44.0,26.7,+17.3,+0.54,+0.02,Matches
1a4ef233,Daniel Amartey,gh GHA,DF,Leicester City,22,1994,8,487,61,14.2,5.4,6,,4,2,,11,1.13,7,7,0,0.00,+0.12,6.8,6.9,-0.1,-0.02,-0.09,Matches
10b9fa99,Ethan Ampadu,wls WAL,DF,Chelsea,16,2000,1,11,11,0.3,0.1,0,,0,1,,11,3.00,0,1,-1,-8.18,-8.84,0.0,0.2,-0.2,-1.26,-1.81,Matches
7c2a398c,Nordin Amrabat,ma MAR,FW,Watford,30,1987,3,198,66,5.8,2.2,3,,1,0,,0,1.67,4,3,+1,+0.45,+1.04,4.4,3.8,+0.6,+0.27,+0.47,Matches
864a3eba,Keshi Anderson,eng ENG,"FW,MF",Crystal Palace,22,1995,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
ac05f970,Michail Antonio,jm JAM,"FW,MF",West Ham,27,1990,21,1354,64,39.6,15.0,16,,8,5,,0,1.05,13,23,-10,-0.66,-0.23,13.1,20.3,-7.2,-0.48,+0.01,Matches
b1313ec4,Scott Arfield,ca CAN,"MF,FW",Burnley,28,1988,18,1333,74,39.0,14.8,15,,9,3,,8,1.11,7,15,-8,-0.54,-0.76,8.6,23.7,-15.0,-1.01,-0.85,Matches
00459419,Marko Arnautović,at AUT,"FW,MF",West Ham,28,1989,31,2313,75,67.6,25.7,28,,14,3,,1,1.06,34,48,-14,-0.54,-0.06,25.4,36.5,-11.1,-0.43,+0.16,Matches
2f4c5a52,Harry Arter,ie IRL,MF,Bournemouth,27,1989,13,960,74,28.1,10.7,11,,7,2,,11,1.31,10,13,-3,-0.28,+0.19,8.7,15.2,-6.4,-0.60,-0.09,Matches
8816329f,Christian Atsu,gh GHA,"FW,MF",Newcastle Utd,25,1992,28,1784,64,52.2,19.8,19,,12,9,,0,1.32,17,22,-5,-0.25,-0.09,20.6,24.4,-3.8,-0.19,+0.20,Matches
d5dd5f1f,Pierre-Emerick Aubameyang,ga GAB,FW,Arsenal,28,1989,13,1057,81,30.9,11.7,12,,10,1,,0,1.62,26,15,+11,+0.94,+0.48,19.5,15.6,+3.9,+0.33,-0.30,Matches
5c2b4f07,Serge Aurier,ci CIV,DF,Tottenham,24,1992,17,1429,84,41.8,15.9,16,,14,1,,13,2.18,35,12,+23,+1.45,+0.77,30.5,9.7,+20.8,+1.31,+0.86,Matches
8d228291,Charlie Austin,eng ENG,FW,Southampton,28,1989,24,1037,43,30.3,11.5,10,,3,14,,1,0.92,14,15,-1,-0.09,+0.59,15.3,10.5,+4.8,+0.41,+0.79,Matches
5dbefa9d,André Ayew,gh GHA,"MF,FW",West Ham,27,1989,18,895,50,26.2,9.9,9,,4,9,,4,0.94,11,24,-13,-1.31,-1.06,10.2,16.5,-6.3,-0.64,-0.20,Matches
5dbefa9d,André Ayew,gh GHA,"MF,FW",Swansea City,27,1989,12,950,79,27.8,10.6,10,,7,2,,0,0.75,9,17,-8,-0.76,-0.03,10.7,17.9,-7.2,-0.68,+0.04,Matches
da052c14,Jordan Ayew,gh GHA,"FW,MF",Swansea City,25,1991,36,2852,79,83.4,31.7,33,,22,3,,0,0.89,26,49,-23,-0.73,+0.07,27.9,48.3,-20.4,-0.64,+0.40,Matches
53cad200,César Azpilicueta,es ESP,DF,Chelsea,27,1989,37,3330,90,97.4,37.0,37,,37,0,,1,1.81,61,38,+23,+0.62,-0.38,52.9,33.8,+19.1,+0.52,-0.92,Matches
1c0eea98,Daniel Bachmann,at AUT,GK,Watford,23,1994,0,,,,,0,,0,0,,8,,,,,,,,,,,,Matches
