id,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl.1,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
f586779e,Tammy Abraham,eng ENG,FW,Roma,23,1997,34.3,27,13,7,14,6,9,22,40.9,13,17,3,14,5,32,27,0,Matches
b96b595c,Francesco Acerbi,it ITA,DF,Lazio,33,1988,28.2,25,12,15,9,1,12,19,63.2,7,37,28,9,34,59,92,0,Matches
f9c927de,Michel Aebischer,ch SUI,MF,Bologna,24,1997,4.9,14,5,5,8,1,6,11,54.5,5,4,1,3,6,20,3,0,Matches
0154d290,Felix Afena-Gyan,gh GHA,"FW,MF",Roma,18,2003,7.4,10,3,1,6,3,4,7,57.1,3,4,0,4,3,13,0,0,Matches
46fa7204,Kevin Agudelo,co COL,"MF,FW",Spezia,22,1998,13.7,44,26,13,26,5,7,20,35.0,13,22,0,22,8,52,6,0,Matches
246d153b,Ola Aina,ng NGA,DF,Torino,24,1996,16.0,27,19,11,10,6,15,23,65.2,8,17,3,14,28,55,30,0,Matches
414e1f69,Marley Aké,fr FRA,"FW,MF",Juventus,20,2001,0.9,0,0,0,0,0,0,2,0.0,2,0,0,0,1,1,0,0,Matches
fdf4b948,Jean-Daniel Akpa-Akpro,ci CIV,MF,Lazio,28,1992,3.5,17,10,7,9,1,7,12,58.3,5,4,2,2,2,19,6,0,Matches
5294a83f,Luis Alberto,es ESP,MF,Lazio,28,1992,26.1,29,17,8,11,10,8,52,15.4,44,32,4,28,13,42,7,0,Matches
aa5322d5,Giorgio Altare,it ITA,DF,Cagliari,22,1998,16.3,39,28,18,18,3,21,26,80.8,5,17,5,12,30,69,70,0,Matches
35b4bc62,Wisdom Amey,it ITA,DF,Bologna,15,2005,0.8,3,2,1,1,1,2,3,66.7,1,2,0,2,3,6,1,0,Matches
bcc81786,Kelvin Amian,fr FRA,DF,Spezia,23,1998,29.4,66,42,43,18,5,30,41,73.2,11,39,21,18,32,98,75,0,Matches
555d5edd,Nadiem Amiri,de GER,"MF,FW",Genoa,24,1996,7.6,6,4,2,2,2,2,9,22.2,7,7,0,7,0,6,0,0,Matches
10b9fa99,Ethan Ampadu,wls WAL,"MF,DF",Venezia,20,2000,25.4,67,43,37,27,3,24,58,41.4,34,49,19,30,51,118,76,0,Matches
5a2cb25d,Sofyan Amrabat,ma MAR,MF,Fiorentina,24,1996,10.5,24,13,9,13,2,11,19,57.9,8,25,8,17,5,29,6,1,Matches
