id,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl.1,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
abf0cad0,Suleiman Abdullahi,ng NGA,"FW,MF",Union Berlin,22,1996,1.7,0,0,0,0,0,0,3,0.0,3,2,1,1,1,1,1,0,Matches
565bf0da,David Abraham,ar ARG,DF,Eint Frankfurt,33,1986,18.8,21,14,16,4,1,15,32,46.9,17,27,11,16,25,46,61,1,Matches
1c08a3c8,Amir Abrashi,al ALB,MF,Freiburg,29,1990,7.4,16,8,7,8,1,10,19,52.6,9,18,3,15,7,23,16,2,Matches
2b09d998,Tyler Adams,us USA,"MF,DF",RB Leipzig,20,1999,10.6,22,15,13,8,1,12,25,48.0,13,16,1,15,14,36,14,0,Matches
22919e97,Sargis Adamyan,am ARM,"FW,MF",Hoffenheim,26,1993,8.3,11,7,3,6,2,3,21,14.3,18,8,1,7,2,13,4,0,Matches
89ac64a6,Manuel Akanji,ch SUI,DF,Dortmund,24,1995,25.7,38,21,23,14,1,12,20,60.0,8,20,11,9,30,68,61,2,Matches
6ec6fde0,Kevin Akpoguma,ng NGA,DF,Hoffenheim,24,1995,12.7,24,16,20,4,0,13,24,54.2,11,21,11,10,13,37,48,0,Matches
05439de2,David Alaba,at AUT,DF,Bayern Munich,27,1992,27.8,30,17,14,15,1,16,25,64.0,9,19,10,9,29,59,40,0,Matches
834d0be5,Lucas Alario,ar ARG,FW,Leverkusen,26,1992,13.0,6,3,0,4,2,1,8,12.5,7,12,2,10,1,7,9,0,Matches
a7a9d95a,Paco Alcácer,es ESP,FW,Dortmund,25,1993,5.9,2,2,0,2,0,1,5,20.0,4,4,1,3,2,4,3,0,Matches
77e84962,Thiago Alcántara,es ESP,MF,Bayern Munich,28,1991,19.7,45,26,17,23,5,12,33,36.4,21,12,3,9,45,90,13,1,Matches
555d5edd,Nadiem Amiri,de GER,"MF,FW",Leverkusen,22,1996,20.6,26,16,7,15,4,16,34,47.1,18,12,2,10,14,40,8,1,Matches
10b9fa99,Ethan Ampadu,wls WAL,DF,RB Leipzig,18,2000,0.9,5,4,3,2,0,1,1,100.0,0,3,1,2,1,6,3,0,Matches
e7199efb,Opoku Ampomah,gh GHA,"FW,MF",Düsseldorf,23,1996,5.6,9,4,3,4,2,3,12,25.0,9,3,0,3,4,13,5,0,Matches
b4cf5806,Sebastian Andersson,se SWE,FW,Union Berlin,28,1991,29.8,20,10,0,12,8,4,19,21.1,15,19,3,16,5,25,36,0,Matches
e0b113a7,Robert Andrich,de GER,MF,Union Berlin,24,1994,28.6,52,27,28,18,6,19,60,31.7,41,27,7,20,47,99,36,0,Matches
30941e96,Angeliño,es ESP,"DF,FW",RB Leipzig,22,1997,12.2,15,9,7,5,3,5,15,33.3,10,14,1,13,19,34,24,0,Matches
0a3f6cde,Christopher Antwi-Adjei,gh GHA,"MF,FW",Paderborn 07,25,1994,27.4,25,16,13,9,3,9,33,27.3,24,29,2,27,15,40,14,0,Matches
56413b1f,Charles Aránguiz,cl CHI,MF,Leverkusen,30,1989,23.5,56,37,19,29,8,27,74,36.5,47,27,6,21,22,78,21,1,Matches
86e119e0,Maximilian Arnold,de GER,MF,Wolfsburg,25,1994,31.3,42,24,15,23,4,16,62,25.8,46,25,6,19,25,67,35,0,Matches
e26fcca3,Santiago Ascacíbar,ar ARG,MF,Hertha BSC,22,1997,7.0,26,13,15,11,0,11,28,39.3,17,13,2,11,16,42,13,0,Matches
9fec8860,Ludwig Augustinsson,se SWE,"DF,MF",Werder Bremen,25,1994,10.3,29,12,15,9,5,12,23,52.2,11,19,5,14,10,39,29,0,Matches
e5478b87,Taiwo Awoniyi,ng NGA,"FW,MF",Mainz 05,21,1997,5.4,2,0,0,2,0,0,4,0.0,4,4,2,2,2,4,3,0,Matches
2200181e,Kaan Ayhan,tr TUR,DF,Düsseldorf,24,1994,30.3,38,25,26,11,1,20,37,54.1,17,28,15,13,45,83,72,1,Matches
3489184e,Matthias Bader,de GER,DF,Köln,22,1997,0.1,1,1,1,0,0,1,2,50.0,1,0,0,0,0,1,1,0,Matches
f261abcb,Daniel Baier,de GER,MF,Augsburg,35,1984,21.6,33,17,14,14,5,15,43,34.9,28,19,7,12,58,91,27,0,Matches
3a233281,Leon Bailey,jm JAM,"FW,MF",Leverkusen,21,1997,12.1,6,3,1,5,0,6,16,37.5,10,9,0,9,8,14,3,0,Matches
1b278bf5,Lewis Baker,eng ENG,MF,Düsseldorf,24,1995,6.1,8,5,6,2,0,2,10,20.0,8,5,2,3,2,10,5,0,Matches
442b56fa,Ridle Baku,de GER,"DF,MF",Mainz 05,21,1998,26.1,54,31,25,22,7,26,53,49.1,27,45,7,38,42,96,57,0,Matches
7c3ed041,Leonardo Balerdi,ar ARG,"DF,MF",Dortmund,20,1999,1.5,2,1,1,1,0,2,2,100.0,0,0,0,0,4,6,3,0,Matches
3f7cd8f1,Philipp Bargfrede,de GER,MF,Werder Bremen,30,1989,6.5,15,12,8,5,2,6,23,26.1,17,8,2,6,16,31,15,0,Matches
a2a85828,Aymen Barkok,ma MAR,"FW,MF",Düsseldorf,21,1998,0.9,1,1,0,0,1,0,2,0.0,2,2,0,2,3,4,1,0,Matches
00242b75,Leandro Barreiro Martins,lu LUX,MF,Mainz 05,19,2000,10.4,38,21,16,19,3,14,29,48.3,15,18,3,15,9,47,18,1,Matches
acc7b7ec,Fin Bartels,de GER,"MF,FW",Werder Bremen,32,1987,3.8,9,5,4,4,1,3,12,25.0,9,3,1,2,1,10,1,0,Matches
b7828a08,Oliver Batista-Meier,de GER,MF,Bayern Munich,18,2001,0.1,0,0,0,0,0,0,2,0.0,2,0,0,0,0,0,0,0,Matches
47064058,Oliver Baumann,de GER,GK,Hoffenheim,29,1990,30.0,0,0,0,0,0,0,0,,0,1,0,1,3,3,15,0,Matches
69374ff5,Julian Baumgartlinger,at AUT,MF,Leverkusen,31,1988,19.9,42,21,15,21,6,18,42,42.9,24,37,4,33,20,62,16,1,Matches
