id,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,xG.1,xAG.1,xG+xAG,npxG.1,npxG+xAG.1,Matches
74e12f1e,Jack Cork,eng ENG,MF,Burnley,31,1989,16,15,1350,15.0,0,0,0,0,0,0,2,0,0.2,0.2,0.6,0.8,8,37,13,0.00,0.00,0.00,0.00,0.00,0.02,0.04,0.05,0.02,0.05,Matches
f13d02a6,Hélder Costa,ao ANG,"MF,FW",Leeds United,26,1994,22,13,1156,12.8,3,3,6,3,0,0,0,0,2.2,2.2,0.6,2.8,47,28,84,0.23,0.23,0.47,0.23,0.47,0.17,0.04,0.22,0.17,0.22,Matches
fdf3cb77,Vladimír Coufal,cz CZE,DF,West Ham,27,1992,34,34,3054,33.9,0,7,7,0,0,0,3,0,1.3,1.3,5.5,6.7,70,128,159,0.00,0.21,0.21,0.00,0.21,0.04,0.16,0.20,0.04,0.20,Matches
4f974391,Aaron Cresswell,eng ENG,DF,West Ham,30,1989,36,36,3170,35.2,0,8,8,0,0,0,3,0,1.0,1.0,6.5,7.5,35,162,96,0.00,0.23,0.23,0.00,0.23,0.03,0.18,0.21,0.03,0.21,Matches
a4fe8cda,Patrick Cutrone,it ITA,FW,Wolves,22,1998,2,0,25,0.3,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,0,0,3,0.00,0.00,0.00,0.00,0.00,0.30,0.00,0.30,0.30,0.30,Matches
67ca8566,Stuart Dallas,nir NIR,"MF,DF",Leeds United,29,1991,38,38,3409,37.9,8,2,10,8,0,0,7,0,4.2,4.2,1.8,6.1,95,233,126,0.21,0.05,0.26,0.21,0.26,0.11,0.05,0.16,0.11,0.16,Matches
52105203,Scott Dann,eng ENG,DF,Crystal Palace,33,1987,15,15,1350,15.0,1,0,1,1,0,0,1,0,0.3,0.3,0.0,0.3,2,34,0,0.07,0.00,0.07,0.07,0.07,0.02,0.00,0.02,0.02,0.02,Matches
cde3309f,Karl Darlow,eng ENG,GK,Newcastle Utd,29,1990,25,25,2250,25.0,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
44781702,Ben Davies,wls WAL,DF,Tottenham,27,1993,20,14,1346,15.0,0,1,1,0,0,0,1,0,0.2,0.2,0.6,0.8,28,51,55,0.00,0.07,0.07,0.00,0.07,0.01,0.04,0.05,0.01,0.05,Matches
9228b07c,Tom Davies,eng ENG,MF,Everton,22,1998,25,17,1423,15.8,0,1,1,0,0,0,3,0,0.2,0.2,0.9,1.1,11,49,17,0.00,0.06,0.06,0.00,0.06,0.01,0.06,0.07,0.01,0.07,Matches
9deaf2c8,Keinan Davis,eng ENG,"FW,MF",Aston Villa,22,1998,15,1,277,3.1,1,1,2,1,0,0,0,0,1.5,1.5,0.6,2.1,7,6,37,0.32,0.32,0.65,0.32,0.65,0.47,0.19,0.67,0.47,0.67,Matches
8574c61f,Leif Davis,eng ENG,DF,Leeds United,20,2000,2,0,33,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
3e9e06cb,Craig Dawson,eng ENG,DF,West Ham,30,1990,22,22,1925,21.4,3,0,3,3,0,0,5,1,1.9,1.9,0.1,1.9,2,39,1,0.14,0.00,0.14,0.14,0.14,0.09,0.00,0.09,0.09,0.09,Matches
e46012d4,Kevin De Bruyne,be BEL,MF,Manchester City,29,1991,25,23,1997,22.2,6,12,18,4,2,3,1,0,9.3,6.9,8.0,14.9,102,213,186,0.27,0.54,0.81,0.18,0.72,0.42,0.36,0.78,0.31,0.67,Matches
dd897ee7,Liam Delap,eng ENG,FW,Manchester City,17,2003,1,0,40,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.10,0.00,0.10,0.10,0.10,Matches
111c3236,Fabian Delph,eng ENG,"MF,DF",Everton,30,1989,8,2,266,3.0,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1,2,11,4,0.00,0.00,0.00,0.00,0.00,0.01,0.02,0.03,0.01,0.03,Matches
5a7301ae,Leander Dendoncker,be BEL,"MF,DF",Wolves,25,1995,33,28,2503,27.8,1,0,1,1,0,0,4,0,3.1,3.1,0.7,3.9,15,88,31,0.04,0.00,0.04,0.04,0.04,0.11,0.03,0.14,0.11,0.14,Matches
dda3969e,Mbaye Diagne,sn SEN,FW,West Brom,28,1991,16,14,1189,13.2,3,2,5,3,0,0,2,0,6.6,6.6,1.0,7.6,4,12,60,0.23,0.15,0.38,0.23,0.38,0.50,0.07,0.58,0.50,0.58,Matches
9dc96f10,Amad Diallo,ci CIV,FW,Manchester Utd,18,2002,3,2,166,1.8,0,1,1,0,0,0,0,0,0.0,0.0,0.5,0.5,9,9,7,0.00,0.54,0.54,0.00,0.54,0.02,0.27,0.29,0.02,0.29,Matches
11ff3d56,Ibrahima Diallo,fr FRA,MF,Southampton,21,1999,22,10,1020,11.3,0,0,0,0,0,0,3,0,0.5,0.5,0.6,1.1,11,46,13,0.00,0.00,0.00,0.00,0.00,0.04,0.06,0.10,0.04,0.10,Matches
f522d7ec,Grady Diangana,eng ENG,"MF,FW",West Brom,22,1998,20,15,1235,13.7,1,0,1,1,0,0,0,0,1.1,1.1,0.2,1.2,25,32,84,0.07,0.00,0.07,0.07,0.07,0.08,0.01,0.09,0.08,0.09,Matches
31c69ef1,Rúben Dias,pt POR,DF,Manchester City,23,1997,32,32,2843,31.6,1,0,1,1,0,0,4,0,1.9,1.9,0.1,2.0,38,154,5,0.03,0.00,0.03,0.03,0.03,0.06,0.00,0.06,0.06,0.06,Matches
ac861941,Eric Dier,eng ENG,DF,Tottenham,26,1994,28,28,2520,28.0,0,0,0,0,0,0,3,0,1.2,1.2,0.3,1.4,21,65,6,0.00,0.00,0.00,0.00,0.00,0.04,0.01,0.05,0.04,0.05,Matches
1b84dbe1,Lucas Digne,fr FRA,"DF,MF",Everton,27,1993,30,30,2681,29.8,0,7,7,0,0,0,2,1,0.5,0.5,5.2,5.7,59,98,197,0.00,0.23,0.23,0.00,0.23,0.02,0.17,0.19,0.02,0.19,Matches
a712ca2b,Issa Diop,fr FRA,DF,West Ham,23,1997,18,15,1381,15.3,2,0,2,2,0,0,3,0,0.5,0.5,0.0,0.5,4,30,1,0.13,0.00,0.13,0.13,0.13,0.03,0.00,0.03,0.03,0.03,Matches
254147d4,Moussa Djenepo,ml MLI,MF,Southampton,22,1998,27,15,1240,13.8,1,0,1,1,0,0,5,0,0.8,0.8,0.4,1.2,28,32,78,0.07,0.00,0.07,0.07,0.07,0.06,0.03,0.08,0.06,0.08,Matches
d557d734,Matt Doherty,ie IRL,DF,Tottenham,28,1992,17,13,1240,13.8,0,2,2,0,0,0,4,1,0.4,0.4,0.7,1.1,18,42,68,0.00,0.15,0.15,0.00,0.15,0.03,0.05,0.08,0.03,0.08,Matches
67ac5bb8,Gabriel Dos Santos,br BRA,DF,Arsenal,22,1997,23,22,1996,22.2,2,0,2,2,0,0,4,1,1.3,1.3,0.1,1.4,18,80,8,0.09,0.00,0.09,0.09,0.09,0.06,0.00,0.06,0.06,0.06,Matches
02b29014,Abdoulaye Doucouré,ml MLI,MF,Everton,27,1993,29,29,2443,27.1,2,3,5,2,0,0,6,0,2.3,2.3,2.0,4.3,34,104,70,0.07,0.11,0.18,0.07,0.18,0.09,0.07,0.16,0.09,0.16,Matches
3a949a25,Martin Dúbravka,sk SVK,GK,Newcastle Utd,31,1989,13,13,1170,13.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
3fe6bd8c,Paul Dummett,wls WAL,DF,Newcastle Utd,28,1991,15,14,1255,13.9,1,0,1,1,0,0,2,0,0.3,0.3,0.2,0.5,2,29,5,0.07,0.00,0.07,0.07,0.07,0.02,0.01,0.04,0.02,0.04,Matches
282f75f3,Lewis Dunk,eng ENG,DF,Brighton,28,1991,33,33,2931,32.6,5,0,5,5,0,0,5,2,2.2,2.2,1.2,3.4,27,82,7,0.15,0.00,0.15,0.15,0.15,0.07,0.04,0.10,0.07,0.10,Matches
1fdfd6da,Jimmy Dunne,ie IRL,DF,Burnley,22,1997,3,3,270,3.0,1,0,1,1,0,0,1,0,0.5,0.5,0.1,0.6,0,4,1,0.33,0.00,0.33,0.33,0.33,0.17,0.04,0.20,0.17,0.20,Matches
3bb7b8b4,Ederson,br BRA,GK,Manchester City,26,1993,36,36,3240,36.0,0,1,1,0,0,0,3,0,0.0,0.0,0.3,0.3,0,1,0,0.00,0.03,0.03,0.00,0.03,0.00,0.01,0.01,0.00,0.01,Matches
1566e437,Kyle Edwards,eng ENG,"MF,FW",West Brom,22,1998,5,1,118,1.3,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,5,3,4,0.00,0.00,0.00,0.00,0.00,0.09,0.02,0.11,0.09,0.11,Matches
debe38a0,John Egan,ie IRL,DF,Sheffield Utd,27,1992,31,30,2629,29.2,0,1,1,0,0,0,7,1,0.8,0.8,0.6,1.4,11,60,2,0.00,0.03,0.03,0.00,0.03,0.03,0.02,0.05,0.03,0.05,Matches
2fba6108,Anthony Elanga,se SWE,FW,Manchester Utd,18,2002,2,2,155,1.7,1,0,1,1,0,0,0,0,0.4,0.4,0.0,0.5,2,3,13,0.58,0.00,0.58,0.58,0.58,0.26,0.02,0.28,0.26,0.28,Matches
615ef733,Ahmed Elmohamady,eg EGY,DF,Aston Villa,32,1987,14,8,839,9.3,0,0,0,0,0,0,2,0,0.4,0.4,1.0,1.4,10,45,36,0.00,0.00,0.00,0.00,0.00,0.05,0.11,0.15,0.05,0.15,Matches
47a34c4f,Mohamed Elneny,eg EGY,MF,Arsenal,28,1992,23,17,1544,17.2,1,0,1,1,0,0,3,0,0.4,0.4,0.2,0.6,17,99,12,0.06,0.00,0.06,0.06,0.06,0.02,0.01,0.03,0.02,0.03,Matches
f8fcd2a5,Jonny Evans,nir NIR,DF,Leicester City,32,1988,28,28,2473,27.5,2,2,4,2,0,0,7,0,1.7,1.7,0.4,2.1,7,96,5,0.07,0.07,0.15,0.07,0.15,0.06,0.02,0.08,0.06,0.08,Matches
ae4fc6a4,Eberechi Eze,eng ENG,MF,Crystal Palace,22,1998,34,29,2559,28.4,4,6,10,4,0,0,3,0,2.2,2.2,3.9,6.1,79,127,126,0.14,0.21,0.35,0.14,0.35,0.08,0.14,0.21,0.08,0.21,Matches
9328b835,Łukasz Fabiański,pl POL,GK,West Ham,35,1985,35,35,3150,35.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
7f3b388c,Fabinho,br BRA,"DF,MF",Liverpool,26,1993,30,28,2567,28.5,0,0,0,0,0,0,6,0,0.3,0.3,0.3,0.6,27,124,13,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.02,0.01,0.02,Matches
507c7bdf,Bruno Fernandes,pt POR,MF,Manchester Utd,25,1994,37,35,3099,34.4,18,12,30,9,9,10,6,0,16.1,8.2,11.4,19.6,80,285,263,0.52,0.35,0.87,0.26,0.61,0.47,0.33,0.80,0.24,0.57,Matches
f25b010f,Federico Fernández,ar ARG,DF,Newcastle Utd,31,1989,24,24,2079,23.1,0,0,0,0,0,0,4,0,0.3,0.3,0.6,0.8,1,32,7,0.00,0.00,0.00,0.00,0.00,0.01,0.03,0.04,0.01,0.04,Matches
101da2b5,Fernandinho,br BRA,MF,Manchester City,35,1985,21,12,1188,13.2,0,2,2,0,0,0,6,0,0.7,0.7,1.3,1.9,31,114,5,0.00,0.15,0.15,0.00,0.15,0.05,0.10,0.15,0.05,0.15,Matches
bd8a7d05,Sam Field,eng ENG,MF,West Brom,22,1998,3,0,62,0.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
4c370d81,Roberto Firmino,br BRA,FW,Liverpool,28,1991,36,33,2838,31.5,9,7,16,9,0,0,2,0,11.3,11.3,5.6,16.9,66,140,222,0.29,0.22,0.51,0.29,0.51,0.36,0.18,0.54,0.36,0.54,Matches
b63e789d,John Fleck,sct SCO,MF,Sheffield Utd,28,1991,31,29,2575,28.6,0,2,2,0,0,0,4,0,0.6,0.6,2.9,3.5,54,151,62,0.00,0.07,0.07,0.00,0.07,0.02,0.10,0.12,0.02,0.12,Matches
ed1e53f3,Phil Foden,eng ENG,"FW,MF",Manchester City,20,2000,28,17,1616,18.0,9,5,14,9,0,0,0,0,5.0,5.0,3.6,8.6,81,69,213,0.50,0.28,0.78,0.50,0.78,0.28,0.20,0.48,0.28,0.48,Matches
132a82f1,Wesley Fofana,fr FRA,DF,Leicester City,19,2000,28,27,2262,25.1,0,0,0,0,0,0,7,0,1.0,1.0,0.3,1.3,37,93,8,0.00,0.00,0.00,0.00,0.00,0.04,0.01,0.05,0.04,0.05,Matches
82927de4,Pablo Fornals,es ESP,"FW,MF",West Ham,24,1996,33,31,2572,28.6,5,4,9,5,0,0,3,0,6.0,6.0,2.3,8.4,59,134,142,0.17,0.14,0.31,0.17,0.31,0.21,0.08,0.29,0.21,0.29,Matches
c3e39f12,Fraser Forster,eng ENG,GK,Southampton,32,1988,8,8,720,8.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
a9142dc3,Timothy Fosu-Mensah,nl NED,DF,Manchester Utd,22,1998,1,1,80,0.9,0,0,0,0,0,0,1,0,0.0,0.0,0.3,0.3,2,5,13,0.00,0.00,0.00,0.00,0.00,0.03,0.31,0.33,0.03,0.33,Matches
6722d4f0,Tyrese Francois,au AUS,DF,Fulham,20,2000,1,0,15,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,1,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
d56543a0,Ryan Fraser,sct SCO,"FW,MF",Newcastle Utd,26,1994,18,9,928,10.3,0,2,2,0,0,0,2,1,0.9,0.9,2.0,2.9,21,18,71,0.00,0.19,0.19,0.00,0.19,0.09,0.19,0.28,0.09,0.28,Matches
b853e0ad,Fred,br BRA,MF,Manchester Utd,27,1993,30,27,2390,26.6,1,0,1,1,0,0,5,0,1.8,1.8,1.9,3.7,31,189,33,0.04,0.00,0.04,0.04,0.04,0.07,0.07,0.14,0.07,0.14,Matches
c067631c,Ryan Fredericks,eng ENG,"DF,FW",West Ham,27,1992,14,6,569,6.3,1,1,2,1,0,0,2,0,0.3,0.3,1.2,1.5,11,20,39,0.16,0.16,0.32,0.16,0.32,0.04,0.19,0.24,0.04,0.24,Matches
a67a09fb,Christian Fuchs,at AUT,DF,Leicester City,34,1986,9,8,702,7.8,0,0,0,0,0,0,4,0,0.1,0.1,0.0,0.1,2,39,7,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.01,0.01,Matches
3ec9195b,Darnell Furlong,eng ENG,DF,West Brom,24,1995,35,32,2932,32.6,1,3,4,1,0,0,5,0,2.0,2.0,1.9,4.0,44,78,104,0.03,0.09,0.12,0.03,0.12,0.06,0.06,0.12,0.06,0.12,Matches
c2731c10,Conor Gallagher,eng ENG,MF,West Brom,20,2000,30,28,2531,28.1,2,2,4,2,0,0,11,0,1.5,1.5,1.8,3.3,32,97,59,0.07,0.07,0.14,0.07,0.14,0.05,0.06,0.12,0.05,0.12,Matches
2bed3eab,Eric García,es ESP,DF,Manchester City,19,2001,6,3,383,4.3,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,8,22,0,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.02,0.02,0.02,Matches
e58a03c6,Dwight Gayle,eng ENG,"FW,MF",Newcastle Utd,29,1990,18,4,514,5.7,1,1,2,1,0,0,0,0,2.9,2.9,0.3,3.3,3,6,30,0.18,0.18,0.35,0.18,0.35,0.51,0.06,0.57,0.51,0.57,Matches
6bd603db,Jean-Philippe Gbamin,ci CIV,MF,Everton,24,1995,1,0,12,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
7ba6d84e,David de Gea,es ESP,GK,Manchester Utd,29,1990,26,26,2295,25.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
ffa90327,Anwar El Ghazi,nl NED,FW,Aston Villa,25,1995,28,17,1613,17.9,10,0,10,6,4,4,2,0,8.4,5.3,1.8,7.1,50,47,163,0.56,0.00,0.56,0.33,0.33,0.47,0.10,0.57,0.30,0.39,Matches
46ee5234,Kieran Gibbs,eng ENG,DF,West Brom,30,1989,10,9,809,9.0,0,0,0,0,0,0,1,1,0.1,0.1,0.4,0.4,11,19,17,0.00,0.00,0.00,0.00,0.00,0.01,0.04,0.05,0.01,0.05,Matches
32f60ed8,Morgan Gibbs-White,eng ENG,"MF,FW",Wolves,20,2000,11,4,414,4.6,1,0,1,1,0,0,1,0,0.8,0.8,0.4,1.2,15,28,27,0.22,0.00,0.22,0.22,0.22,0.17,0.09,0.25,0.17,0.25,Matches
df10e27c,Billy Gilmour,sct SCO,MF,Chelsea,19,2001,5,3,261,2.9,0,0,0,0,0,0,0,0,0.1,0.1,0.2,0.2,3,18,1,0.00,0.00,0.00,0.00,0.00,0.02,0.06,0.07,0.02,0.07,Matches
16ceb862,Olivier Giroud,fr FRA,FW,Chelsea,33,1986,17,8,748,8.3,4,0,4,4,0,0,1,0,4.2,4.2,1.1,5.3,0,5,40,0.48,0.00,0.48,0.48,0.48,0.51,0.13,0.64,0.51,0.64,Matches
9f7c837d,Ben Godfrey,eng ENG,DF,Everton,22,1998,31,29,2685,29.8,0,2,2,0,0,0,4,0,1.0,1.0,0.8,1.8,46,63,10,0.00,0.07,0.07,0.00,0.07,0.03,0.03,0.06,0.03,0.06,Matches
1961b2aa,André Gomes,pt POR,MF,Everton,27,1993,28,17,1570,17.4,0,1,1,0,0,0,3,0,0.5,0.5,1.0,1.4,30,103,28,0.00,0.06,0.06,0.00,0.06,0.03,0.06,0.08,0.03,0.08,Matches
7a11550b,Joe Gomez,eng ENG,DF,Liverpool,23,1997,7,6,590,6.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,4,38,1,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.01,Matches
2bd83368,Anthony Gordon,eng ENG,"FW,MF",Everton,19,2001,3,1,88,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,3,2,5,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.00,0.03,Matches
87f7500e,Karlan Grant,eng ENG,"FW,MF",West Brom,22,1997,21,14,1127,12.5,1,0,1,1,0,0,1,0,1.8,1.8,0.2,2.0,21,13,69,0.08,0.00,0.08,0.08,0.08,0.15,0.02,0.16,0.15,0.16,Matches
4468ec10,Demarai Gray,eng ENG,FW,Leicester City,24,1996,1,0,19,0.2,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,1,0,3,0.00,0.00,0.00,0.00,0.00,0.32,0.00,0.32,0.32,0.32,Matches
b0b4fd3e,Jack Grealish,eng ENG,"FW,MF",Aston Villa,24,1995,26,24,2185,24.3,6,10,16,6,0,0,6,0,4.6,4.6,7.4,12.0,172,189,212,0.25,0.41,0.66,0.25,0.66,0.19,0.30,0.50,0.19,0.50,Matches
58eee997,Mason Greenwood,eng ENG,FW,Manchester Utd,18,2001,31,21,1822,20.2,7,2,9,7,0,0,2,0,6.0,6.0,2.2,8.2,67,52,175,0.35,0.10,0.44,0.35,0.44,0.29,0.11,0.40,0.29,0.40,Matches
8aec0537,Pascal Groß,de GER,"MF,DF",Brighton,29,1991,34,27,2484,27.6,3,8,11,0,3,4,3,0,4.9,1.7,5.2,6.9,57,165,168,0.11,0.29,0.40,0.00,0.29,0.18,0.19,0.36,0.06,0.25,Matches
81d8091f,Kamil Grosicki,pl POL,"MF,FW",West Brom,32,1988,3,2,148,1.6,0,1,1,0,0,0,0,0,0.1,0.1,0.3,0.4,7,4,12,0.00,0.61,0.61,0.00,0.61,0.07,0.19,0.26,0.07,0.26,Matches
ab13a5aa,Vicente Guaita,es ESP,GK,Crystal Palace,33,1987,37,37,3330,37.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
819b3158,İlkay Gündoğan,de GER,MF,Manchester City,29,1990,28,23,2029,22.5,13,2,15,12,1,2,1,0,9.0,7.4,3.5,10.9,69,167,92,0.58,0.09,0.67,0.53,0.62,0.40,0.15,0.55,0.33,0.48,Matches
a7588cdc,Antwoine Hackford,eng ENG,DF,Sheffield Utd,16,2004,1,0,11,0.1,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,0,0,0,0.00,0.00,0.00,0.00,0.00,0.84,0.00,0.84,0.84,0.84,Matches
ba115a40,Sébastien Haller,ci CIV,FW,West Ham,26,1994,16,10,937,10.4,3,0,3,3,0,0,0,0,2.9,2.9,1.4,4.3,4,19,52,0.29,0.00,0.29,0.29,0.29,0.28,0.14,0.41,0.28,0.41,Matches
3c066877,Rekeem Harper,eng ENG,MF,West Brom,20,2000,2,0,32,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,1,0.00,0.00,0.00,0.00,0.00,0.09,0.00,0.09,0.09,0.09,Matches
aa849a12,Jack Harrison,eng ENG,"MF,FW",Leeds United,23,1996,36,34,2847,31.6,8,8,16,8,0,0,2,0,5.8,5.8,6.5,12.4,108,98,307,0.25,0.25,0.51,0.25,0.51,0.18,0.21,0.39,0.18,0.39,Matches
bf8fad51,Kortney Hause,eng ENG,DF,Aston Villa,25,1995,7,7,630,7.0,1,0,1,1,0,0,2,0,1.0,1.0,0.0,1.0,1,10,0,0.14,0.00,0.14,0.14,0.14,0.15,0.00,0.15,0.15,0.15,Matches
fed7cb61,Kai Havertz,de GER,"MF,FW",Chelsea,21,1999,27,18,1520,16.9,4,3,7,4,0,0,2,0,5.5,5.5,1.3,6.8,47,74,133,0.24,0.18,0.41,0.24,0.41,0.33,0.08,0.40,0.33,0.40,Matches
c951a6df,Isaac Hayden,eng ENG,"MF,DF",Newcastle Utd,25,1995,24,22,1942,21.6,0,0,0,0,0,0,8,0,0.7,0.7,0.3,1.0,7,47,20,0.00,0.00,0.00,0.00,0.00,0.03,0.01,0.04,0.03,0.04,Matches
5f1a2f31,Michael Hector,jm JAM,DF,Fulham,28,1992,4,3,263,2.9,0,0,0,0,0,0,2,0,0.1,0.1,0.0,0.1,0,12,0,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.03,0.02,0.03,Matches
5540c9dc,Ahmed Hegazi,eg EGY,DF,West Brom,29,1991,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
e5a76dfe,Dean Henderson,eng ENG,GK,Manchester Utd,23,1997,13,12,1125,12.5,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
935e6b8f,Jordan Henderson,eng ENG,"MF,DF",Liverpool,30,1990,21,20,1704,18.9,1,1,2,1,0,0,0,0,1.3,1.3,1.5,2.8,46,169,21,0.05,0.05,0.11,0.05,0.11,0.07,0.08,0.15,0.07,0.15,Matches
989d5705,Jeff Hendrick,ie IRL,MF,Newcastle Utd,28,1992,22,17,1422,15.8,2,1,3,2,0,0,3,1,1.1,1.1,1.1,2.2,7,37,24,0.13,0.06,0.19,0.13,0.19,0.07,0.07,0.14,0.07,0.14,Matches
c0398aca,Pablo Hernández,es ESP,MF,Leeds United,35,1985,16,3,427,4.7,0,2,2,0,0,0,1,0,1.1,1.1,0.7,1.8,33,70,34,0.00,0.42,0.42,0.00,0.42,0.23,0.15,0.38,0.23,0.38,Matches
92e7e919,Son Heung-min,kr KOR,FW,Tottenham,28,1992,37,36,3114,34.6,17,10,27,16,1,1,0,0,9.7,8.9,8.4,17.4,88,87,266,0.49,0.29,0.78,0.46,0.75,0.28,0.24,0.52,0.26,0.50,Matches
9a71e978,Ki-Jana Hoever,nl NED,"DF,MF",Wolves,18,2002,12,5,577,6.4,0,0,0,0,0,0,1,0,0.0,0.0,0.2,0.2,17,19,38,0.00,0.00,0.00,0.00,0.00,0.01,0.03,0.04,0.01,0.04,Matches
d79a8c87,Rob Holding,eng ENG,DF,Arsenal,24,1995,30,28,2558,28.4,0,1,1,0,0,0,2,0,1.0,1.0,0.2,1.2,10,114,1,0.00,0.04,0.04,0.00,0.04,0.04,0.01,0.04,0.04,0.04,Matches
d0042ab9,Mason Holgate,eng ENG,DF,Everton,23,1996,28,26,2287,25.4,1,0,1,1,0,0,9,0,1.0,1.0,0.7,1.7,21,57,36,0.04,0.00,0.04,0.04,0.04,0.04,0.03,0.07,0.04,0.07,Matches
fcab00a0,Conor Hourihane,ie IRL,MF,Aston Villa,29,1991,4,3,225,2.5,1,1,2,1,0,0,0,0,0.7,0.7,0.6,1.3,1,23,11,0.40,0.40,0.80,0.40,0.80,0.26,0.25,0.51,0.26,0.51,Matches
15f3ec41,Callum Hudson-Odoi,eng ENG,"FW,DF",Chelsea,19,2000,23,10,1059,11.8,2,3,5,2,0,0,0,0,1.3,1.3,2.8,4.1,89,75,155,0.17,0.25,0.42,0.17,0.42,0.11,0.24,0.35,0.11,0.35,Matches
6d646ff7,Niall Huggins,wls WAL,DF,Leeds United,19,2000,1,0,38,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,1,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
8b04d6c1,Pierre Højbjerg,dk DEN,MF,Tottenham,24,1995,38,38,3420,38.0,2,4,6,2,0,0,9,0,1.1,1.1,1.6,2.7,36,218,26,0.05,0.11,0.16,0.05,0.16,0.03,0.04,0.07,0.03,0.07,Matches
03622183,Odion Ighalo,ng NGA,FW,Manchester Utd,31,1989,1,0,10,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
c92e1a31,Kelechi Iheanacho,ng NGA,FW,Leicester City,23,1996,25,16,1459,16.2,12,2,14,12,0,1,1,0,8.2,7.4,3.7,11.1,31,41,124,0.74,0.12,0.86,0.74,0.86,0.51,0.23,0.74,0.46,0.69,Matches
07802f7f,Danny Ings,eng ENG,FW,Southampton,28,1992,29,26,2173,24.1,12,4,16,10,2,2,1,0,8.5,6.9,2.1,9.1,37,52,134,0.50,0.17,0.66,0.41,0.58,0.35,0.09,0.44,0.29,0.38,Matches
85f8571a,Branislav Ivanović,rs SRB,DF,West Brom,36,1984,13,8,767,8.5,0,0,0,0,0,0,2,0,0.5,0.5,0.1,0.6,0,10,1,0.00,0.00,0.00,0.00,0.00,0.06,0.01,0.07,0.06,0.07,Matches
