id,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,xG.1,xAG.1,xG+xAG,npxG.1,npxG+xAG.1,Matches
bc7dc64d,Bukayo Saka,eng ENG,"FW,MF",Arsenal,19,2001,38,36,2978,33.1,11,7,18,9,2,2,6,0,10.3,8.7,7.5,16.3,140,101,388,0.33,0.21,0.54,0.27,0.48,0.31,0.23,0.54,0.26,0.49,Matches
e342ad68,Mohamed Salah,eg EGY,FW,Liverpool,29,1992,35,30,2762,30.7,23,13,36,18,5,6,1,0,22.7,17.8,10.0,27.8,125,122,451,0.75,0.42,1.17,0.59,1.01,0.74,0.33,1.07,0.58,0.91,Matches
0b33f6ad,Mohammed Salisu,gh GHA,DF,Southampton,22,1999,34,33,2972,33.0,0,0,0,0,0,0,10,1,2.0,2.0,0.8,2.7,31,136,7,0.00,0.00,0.00,0.00,0.00,0.06,0.02,0.08,0.06,0.08,Matches
1b4f1169,Albert Sambi Lokonga,be BEL,MF,Arsenal,21,1999,19,12,1134,12.6,0,0,0,0,0,0,5,0,0.6,0.6,1.0,1.6,28,84,16,0.00,0.00,0.00,0.00,0.00,0.05,0.08,0.13,0.05,0.13,Matches
da7b447d,Davinson Sánchez,co COL,DF,Tottenham,25,1996,23,17,1631,18.1,2,0,2,2,0,0,4,0,2.1,2.1,0.3,2.4,21,65,8,0.11,0.00,0.11,0.11,0.11,0.11,0.02,0.13,0.11,0.13,Matches
6a713852,Robert Sánchez,es ESP,GK,Brighton,23,1997,37,37,3329,37.0,0,0,0,0,0,0,3,1,0.0,0.0,0.4,0.4,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.01,Matches
dbf053da,Jadon Sancho,eng ENG,"FW,MF",Manchester Utd,21,2000,29,20,1900,21.1,3,3,6,3,0,0,0,0,3.6,3.6,4.1,7.7,111,88,222,0.14,0.14,0.28,0.14,0.28,0.17,0.19,0.37,0.17,0.37,Matches
6e7f1353,Morgan Sanson,fr FRA,MF,Aston Villa,26,1994,10,3,356,4.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,16,21,10,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.01,Matches
92b4758e,Samir Santos,br BRA,DF,Watford,26,1994,19,19,1673,18.6,0,0,0,0,0,0,4,0,0.5,0.5,0.1,0.6,1,24,2,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.03,0.03,0.03,Matches
a8d4428b,Josh Sargent,us USA,"FW,MF",Norwich City,21,2000,26,18,1572,17.5,2,1,3,2,0,0,1,0,2.5,2.5,0.9,3.4,21,12,88,0.11,0.06,0.17,0.11,0.17,0.14,0.05,0.19,0.14,0.19,Matches
ac0d576d,Jeremy Sarmiento,ec ECU,"FW,MF",Brighton,19,2002,5,1,48,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,4,1,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
bfdb33aa,Ismaila Sarr,sn SEN,"FW,MF",Watford,23,1998,22,21,1861,20.7,5,2,7,5,0,1,2,0,4.8,4.0,2.9,6.9,79,52,158,0.24,0.10,0.34,0.24,0.34,0.23,0.14,0.37,0.19,0.34,Matches
4315f30d,Malang Sarr,fr FRA,DF,Chelsea,22,1999,8,6,546,6.1,0,0,0,0,0,0,2,0,0.0,0.0,0.4,0.4,9,23,15,0.00,0.00,0.00,0.00,0.00,0.01,0.06,0.07,0.01,0.07,Matches
21945a9e,Dane Scarlett,eng ENG,MF,Tottenham,17,2004,1,0,4,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
c8aa95da,Fabian Schär,ch SUI,DF,Newcastle Utd,29,1991,25,25,2158,24.0,2,2,4,2,0,0,4,0,1.2,1.2,1.1,2.3,20,59,2,0.08,0.08,0.17,0.08,0.17,0.05,0.05,0.10,0.05,0.10,Matches
3312f911,Jeffrey Schlupp,gh GHA,"MF,FW",Crystal Palace,28,1992,32,20,1851,20.6,4,1,5,4,0,0,1,0,3.4,3.4,1.6,4.9,31,70,60,0.19,0.05,0.24,0.19,0.24,0.16,0.08,0.24,0.16,0.24,Matches
53af52f3,Kasper Schmeichel,dk DEN,GK,Leicester City,34,1986,37,37,3330,37.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,1,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
1770bd68,Ken Sema,se SWE,"MF,FW",Watford,27,1993,18,7,852,9.5,0,0,0,0,0,0,1,0,0.1,0.1,1.3,1.4,19,8,36,0.00,0.00,0.00,0.00,0.00,0.01,0.13,0.15,0.01,0.15,Matches
d04b94db,Nélson Semedo,pt POR,"MF,DF",Wolves,27,1993,25,25,2131,23.7,0,1,1,0,0,0,1,0,1.6,1.6,1.3,2.9,79,78,146,0.00,0.04,0.04,0.00,0.04,0.07,0.06,0.12,0.07,0.12,Matches
6aa3e78b,Ryan Sessegnon,eng ENG,"DF,MF",Tottenham,21,2000,15,13,1047,11.6,0,2,2,0,0,0,2,0,0.3,0.3,2.7,3.0,30,22,80,0.00,0.17,0.17,0.00,0.17,0.03,0.23,0.26,0.03,0.26,Matches
8d03ca5a,Jamie Shackleton,eng ENG,"DF,MF",Leeds United,21,1999,14,7,709,7.9,0,0,0,0,0,0,4,0,0.2,0.2,0.0,0.2,20,36,20,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.02,0.02,0.02,Matches
9c94165b,Luke Shaw,eng ENG,DF,Manchester Utd,26,1995,20,19,1601,17.8,0,3,3,0,0,0,8,0,0.1,0.1,3.6,3.7,48,82,69,0.00,0.17,0.17,0.00,0.17,0.01,0.20,0.21,0.01,0.21,Matches
3727dd3c,Jonjo Shelvey,eng ENG,MF,Newcastle Utd,29,1992,24,22,1983,22.0,2,1,3,2,0,0,7,1,0.9,0.9,1.0,1.9,11,84,7,0.09,0.05,0.14,0.09,0.14,0.04,0.05,0.09,0.04,0.09,Matches
00f0482f,Shola Shoretire,eng ENG,MF,Manchester Utd,17,2004,1,0,16,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
0f933743,Francisco Sierralta,cl CHI,DF,Watford,24,1997,5,5,427,4.7,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,1,2,0,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.01,0.01,Matches
3eb22ec9,Bernardo Silva,pt POR,"MF,FW",Manchester City,26,1994,35,33,2857,31.7,8,4,12,8,0,0,6,0,6.7,6.7,6.5,13.2,146,170,277,0.25,0.13,0.38,0.25,0.38,0.21,0.21,0.42,0.21,0.42,Matches
e7aa9d7c,Fábio Silva,pt POR,FW,Wolves,19,2002,22,6,572,6.4,0,0,0,0,0,0,0,0,1.8,1.8,0.2,1.9,14,14,41,0.00,0.00,0.00,0.00,0.00,0.28,0.03,0.30,0.28,0.30,Matches
86e7deaf,Thiago Silva,br BRA,DF,Chelsea,36,1984,32,28,2650,29.4,3,0,3,3,0,0,2,0,0.9,0.9,0.2,1.1,14,145,2,0.10,0.00,0.10,0.10,0.10,0.03,0.01,0.04,0.03,0.04,Matches
26d3b5be,Ellis Simms,eng ENG,FW,Everton,20,2001,1,1,61,0.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
2acd49b9,Moussa Sissoko,fr FRA,MF,Watford,31,1989,36,36,3220,35.8,2,1,3,2,0,0,5,0,3.8,3.7,3.1,6.8,51,116,71,0.06,0.03,0.08,0.06,0.08,0.11,0.09,0.19,0.10,0.19,Matches
6250083a,Oliver Skipp,eng ENG,MF,Tottenham,20,2000,18,14,1350,15.0,0,0,0,0,0,0,6,0,0.2,0.2,0.7,1.0,27,76,18,0.00,0.00,0.00,0.00,0.00,0.02,0.05,0.07,0.02,0.07,Matches
5e105217,William Smallbone,ie IRL,"MF,FW",Southampton,21,2000,4,2,133,1.5,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,4,2,7,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.06,0.03,0.06,Matches
17695062,Emile Smith Rowe,eng ENG,"MF,FW",Arsenal,21,2000,33,21,1921,21.3,10,2,12,10,0,0,1,0,6.0,6.0,2.0,8.0,65,85,139,0.47,0.09,0.56,0.47,0.56,0.28,0.09,0.38,0.28,0.38,Matches
839c14e1,Cédric Soares,pt POR,DF,Arsenal,29,1991,21,16,1486,16.5,1,1,2,1,0,0,3,0,0.6,0.6,1.6,2.1,17,84,56,0.06,0.06,0.12,0.06,0.12,0.03,0.09,0.13,0.03,0.13,Matches
6613c819,Tomáš Souček,cz CZE,MF,West Ham,26,1995,35,34,3062,34.0,5,1,6,5,0,0,3,0,5.5,4.8,2.2,7.0,36,141,54,0.15,0.03,0.18,0.15,0.18,0.16,0.06,0.22,0.14,0.20,Matches
ae59b359,Boubakary Soumaré,fr FRA,MF,Leicester City,22,1999,19,12,1102,12.2,0,1,1,0,0,0,0,0,0.4,0.4,0.4,0.7,10,45,16,0.00,0.08,0.08,0.00,0.08,0.03,0.03,0.06,0.03,0.06,Matches
21166ff4,Çağlar Söyüncü,tr TUR,DF,Leicester City,25,1996,28,28,2497,27.7,1,0,1,1,0,0,5,0,1.0,1.0,0.1,1.1,19,71,5,0.04,0.00,0.04,0.04,0.04,0.04,0.00,0.04,0.04,0.04,Matches
35be8087,Tony Springett,eng ENG,"MF,FW",Norwich City,18,2002,3,1,141,1.6,0,0,0,0,0,0,1,0,0.2,0.2,0.5,0.7,8,2,11,0.00,0.00,0.00,0.00,0.00,0.11,0.34,0.45,0.11,0.45,Matches
28300a16,Jason Steele,eng ENG,GK,Brighton,30,1990,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
a8a3d139,Jed Steer,eng ENG,GK,Aston Villa,28,1992,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
42130443,Zack Steffen,us USA,GK,Manchester City,26,1995,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
653ee42d,Dale Stephens,eng ENG,MF,Burnley,32,1989,3,1,124,1.4,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.1,0,5,1,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.04,0.02,0.04,Matches
6adbc307,Jack Stephens,eng ENG,DF,Southampton,27,1994,11,9,811,9.0,0,0,0,0,0,0,3,0,0.0,0.0,0.3,0.3,7,28,3,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.04,0.00,0.04,Matches
b400bde0,Raheem Sterling,eng ENG,FW,Manchester City,26,1994,30,23,2128,23.6,13,5,18,11,2,3,1,0,14.0,11.5,5.5,17.0,108,65,317,0.55,0.21,0.76,0.47,0.68,0.59,0.23,0.82,0.49,0.72,Matches
7e003182,Finley Stevens,wls WAL,DF,Brentford,18,2003,1,0,15,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,0,2,2,0.00,0.00,0.00,0.00,0.00,0.00,0.33,0.33,0.00,0.33,Matches
5eecec3d,John Stones,eng ENG,DF,Manchester City,27,1994,14,12,1119,12.4,1,0,1,1,0,0,0,0,0.9,0.9,0.2,1.1,28,63,7,0.08,0.00,0.08,0.08,0.08,0.07,0.01,0.09,0.07,0.09,Matches
f4d296e4,Pascal Struijk,nl NED,"DF,MF",Leeds United,21,1999,29,22,2055,22.8,1,0,1,1,0,0,6,1,1.4,1.4,0.4,1.9,8,86,10,0.04,0.00,0.04,0.04,0.04,0.06,0.02,0.08,0.06,0.08,Matches
df04eb4b,Crysencio Summerville,nl NED,"MF,FW",Leeds United,19,2001,6,0,130,1.4,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.3,5,7,16,0.00,0.00,0.00,0.00,0.00,0.17,0.03,0.19,0.17,0.19,Matches
953c30b0,Jakob Sørensen,dk DEN,"MF,DF",Norwich City,23,1998,10,6,604,6.7,0,0,0,0,0,0,0,0,0.5,0.5,0.0,0.5,4,20,4,0.00,0.00,0.00,0.00,0.00,0.07,0.00,0.07,0.07,0.07,Matches
e9971f2d,Japhet Tanganga,eng ENG,DF,Tottenham,22,1999,11,10,735,8.2,0,0,0,0,0,0,4,1,0.4,0.4,0.2,0.7,13,20,21,0.00,0.00,0.00,0.00,0.00,0.05,0.03,0.08,0.05,0.08,Matches
e514ab62,Matt Targett,eng ENG,DF,Aston Villa,25,1995,17,17,1431,15.9,1,1,2,1,0,0,2,0,0.5,0.5,1.7,2.2,19,83,79,0.06,0.06,0.13,0.06,0.13,0.03,0.11,0.14,0.03,0.14,Matches
e514ab62,Matt Targett,eng ENG,DF,Newcastle Utd,25,1995,16,16,1440,16.0,0,0,0,0,0,0,1,0,0.3,0.3,1.9,2.2,11,53,40,0.00,0.00,0.00,0.00,0.00,0.02,0.12,0.14,0.02,0.14,Matches
15ea812b,James Tarkowski,eng ENG,DF,Burnley,28,1992,35,35,3106,34.5,1,2,3,1,0,0,11,0,2.5,2.5,0.5,3.0,3,97,11,0.03,0.06,0.09,0.03,0.09,0.07,0.01,0.09,0.07,0.09,Matches
a65c844b,Nuno Tavares,pt POR,DF,Arsenal,21,2000,22,13,1176,13.1,1,1,2,1,0,0,2,0,1.9,1.9,1.1,2.9,47,42,91,0.08,0.08,0.15,0.08,0.15,0.14,0.08,0.22,0.14,0.22,Matches
cc2d7ad5,Charlie Taylor,eng ENG,DF,Burnley,27,1993,31,30,2731,30.3,0,3,3,0,0,0,3,0,0.2,0.2,3.8,4.0,58,91,77,0.00,0.10,0.10,0.00,0.10,0.01,0.13,0.13,0.01,0.13,Matches
f1e94cd6,Nathan Tella,eng ENG,"MF,FW",Southampton,22,1999,14,10,804,8.9,0,1,1,0,0,0,2,0,0.6,0.6,0.6,1.2,22,17,44,0.00,0.11,0.11,0.00,0.11,0.07,0.07,0.13,0.07,0.13,Matches
e73c9bb2,Alex Telles,br BRA,DF,Manchester Utd,28,1992,21,18,1660,18.4,0,4,4,0,0,0,1,0,0.4,0.4,1.9,2.3,36,66,102,0.00,0.22,0.22,0.00,0.22,0.02,0.10,0.12,0.02,0.12,Matches
fc027d02,Luke Thomas,eng ENG,DF,Leicester City,20,2001,22,21,1912,21.2,0,1,1,0,0,0,2,0,0.1,0.1,1.3,1.5,28,95,59,0.00,0.05,0.05,0.00,0.05,0.01,0.06,0.07,0.01,0.07,Matches
235a62f8,Dominic Thompson,eng ENG,DF,Brentford,21,2000,2,2,146,1.6,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,0,0,3,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.04,0.04,0.04,Matches
56f7a928,Youri Tielemans,be BEL,MF,Leicester City,24,1997,32,29,2631,29.2,6,4,10,4,2,2,3,0,4.4,2.8,4.2,7.0,31,202,69,0.21,0.14,0.34,0.14,0.27,0.15,0.15,0.29,0.10,0.24,Matches
fce2302c,Kieran Tierney,sct SCO,DF,Arsenal,24,1997,22,22,1915,21.3,1,3,4,1,0,0,0,0,0.6,0.6,1.8,2.4,62,105,128,0.05,0.14,0.19,0.05,0.19,0.03,0.09,0.11,0.03,0.11,Matches
b3af9be1,Takehiro Tomiyasu,jp JPN,DF,Arsenal,22,1998,21,20,1679,18.7,0,1,1,0,0,0,2,0,0.6,0.6,1.0,1.6,32,96,41,0.00,0.05,0.05,0.00,0.05,0.03,0.05,0.09,0.03,0.09,Matches
e7ca0439,James Tomkins,eng ENG,DF,Crystal Palace,32,1989,8,6,547,6.1,1,0,1,1,0,0,2,0,0.5,0.5,0.2,0.7,1,8,1,0.16,0.00,0.16,0.16,0.16,0.08,0.03,0.11,0.08,0.11,Matches
e09f279b,Ivan Toney,eng ENG,FW,Brentford,25,1996,33,32,2909,32.3,12,5,17,7,5,5,8,0,11.4,7.4,5.8,13.3,28,83,168,0.37,0.15,0.53,0.22,0.37,0.35,0.18,0.53,0.23,0.41,Matches
9e1035f8,Ferrán Torres,es ESP,FW,Manchester City,21,2000,4,4,303,3.4,2,1,3,2,0,0,0,0,2.8,2.8,0.0,2.8,5,4,26,0.59,0.30,0.89,0.59,0.89,0.83,0.01,0.84,0.83,0.84,Matches
9a104dee,Cenk Tosun,tr TUR,MF,Everton,30,1991,1,0,7,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
b28bbd58,Andros Townsend,eng ENG,"MF,FW",Everton,30,1991,21,17,1455,16.2,3,2,5,2,1,1,3,0,2.2,1.5,3.1,4.5,41,50,100,0.19,0.12,0.31,0.12,0.25,0.14,0.19,0.33,0.09,0.28,Matches
9a28eba4,Adama Traoré,es ESP,"FW,MF",Wolves,25,1996,20,10,1067,11.9,1,0,1,1,0,0,0,0,3.0,3.0,1.4,4.4,84,29,85,0.08,0.00,0.08,0.08,0.08,0.25,0.12,0.37,0.25,0.37,Matches
c47541e0,Bertrand Traoré,bf BFA,"MF,FW",Aston Villa,25,1995,9,1,220,2.4,0,0,0,0,0,0,0,0,0.3,0.3,0.0,0.3,12,12,13,0.00,0.00,0.00,0.00,0.00,0.13,0.00,0.13,0.13,0.13,Matches
3ae14ed1,Trézéguet,eg EGY,FW,Aston Villa,26,1994,1,0,11,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,4,0.00,0.00,0.00,0.00,0.00,0.38,0.00,0.38,0.38,0.38,Matches
77e39b04,Francisco Trincão,pt POR,"FW,MF",Wolves,21,1999,28,16,1336,14.8,2,1,3,2,0,0,0,0,3.7,3.7,1.6,5.4,56,40,93,0.13,0.07,0.20,0.13,0.20,0.25,0.11,0.36,0.25,0.36,Matches
21512407,Kieran Trippier,eng ENG,DF,Newcastle Utd,30,1990,6,5,429,4.8,2,0,2,2,0,0,0,0,0.2,0.2,0.3,0.5,2,17,8,0.42,0.00,0.42,0.42,0.42,0.05,0.06,0.10,0.05,0.10,Matches
7ed4921e,William Troost-Ekong,ng NGA,DF,Watford,27,1993,17,15,1390,15.4,0,0,0,0,0,0,3,0,0.1,0.1,0.1,0.2,7,30,3,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.01,0.01,Matches
38ceb24a,Leandro Trossard,be BEL,"FW,MF",Brighton,26,1994,34,32,2805,31.2,8,3,11,7,1,1,2,0,6.7,5.9,4.8,10.7,97,154,222,0.26,0.10,0.35,0.22,0.32,0.21,0.15,0.37,0.19,0.34,Matches
f315ca93,Kostas Tsimikas,gr GRE,DF,Liverpool,25,1996,13,9,877,9.7,0,2,2,0,0,0,3,0,0.6,0.6,2.7,3.3,48,47,109,0.00,0.21,0.21,0.00,0.21,0.06,0.27,0.34,0.06,0.34,Matches
2baec6ce,Axel Tuanzebe,eng ENG,DF,Aston Villa,23,1997,9,6,508,5.6,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,1,6,0,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.02,0.02,0.02,Matches
17d45fb2,Ozan Tufan,tr TUR,MF,Watford,26,1995,7,4,334,3.7,0,0,0,0,0,0,0,0,0.6,0.6,0.3,0.9,2,16,13,0.00,0.00,0.00,0.00,0.00,0.15,0.09,0.24,0.15,0.24,Matches
9f333379,Christos Tzolis,gr GRE,"FW,MF",Norwich City,19,2002,14,3,336,3.7,0,0,0,0,0,0,0,0,0.4,0.4,0.7,1.1,8,13,31,0.00,0.00,0.00,0.00,0.00,0.12,0.18,0.30,0.12,0.30,Matches
531a4aa8,Yan Valery,tn TUN,DF,Southampton,22,1999,5,3,370,4.1,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.2,3,10,4,0.00,0.00,0.00,0.00,0.00,0.01,0.03,0.04,0.01,0.04,Matches
e06683ca,Virgil van Dijk,nl NED,DF,Liverpool,30,1991,34,34,3060,34.0,3,1,4,3,0,0,3,0,2.0,2.0,1.5,3.6,11,145,4,0.09,0.03,0.12,0.09,0.12,0.06,0.05,0.11,0.06,0.11,Matches
9f8e9423,Raphaël Varane,fr FRA,DF,Manchester Utd,28,1993,22,20,1831,20.3,1,1,2,1,0,0,0,0,0.7,0.7,0.2,0.9,11,49,2,0.05,0.05,0.10,0.05,0.10,0.03,0.01,0.05,0.03,0.05,Matches
45963054,Jamie Vardy,eng ENG,FW,Leicester City,34,1987,25,20,1806,20.1,15,2,17,15,0,0,2,0,10.8,10.8,1.4,12.2,37,28,112,0.75,0.10,0.85,0.75,0.85,0.54,0.07,0.61,0.54,0.61,Matches
dad4b285,Joël Veltman,nl NED,DF,Brighton,29,1992,34,33,2874,31.9,1,1,2,1,0,0,6,0,0.7,0.7,1.6,2.3,25,124,65,0.03,0.03,0.06,0.03,0.06,0.02,0.05,0.07,0.02,0.07,Matches
1900032e,Jannik Vestergaard,dk DEN,DF,Leicester City,28,1992,10,6,567,6.3,0,0,0,0,0,0,2,0,0.1,0.1,0.0,0.1,2,19,0,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.02,0.02,0.02,Matches
aa8e289e,Nikola Vlašić,hr CRO,"FW,MF",West Ham,23,1997,19,6,560,6.2,1,0,1,1,0,0,0,0,1.3,1.3,0.6,2.0,21,14,48,0.16,0.00,0.16,0.16,0.16,0.21,0.10,0.31,0.21,0.31,Matches
0d4ceb32,Matěj Vydra,cz CZE,FW,Burnley,29,1992,22,5,679,7.5,2,3,5,2,0,0,1,0,2.9,2.9,0.7,3.7,2,7,43,0.27,0.40,0.66,0.27,0.66,0.39,0.10,0.49,0.39,0.49,Matches
1ecb65be,Theo Walcott,eng ENG,"MF,FW",Southampton,32,1989,9,5,379,4.2,0,0,0,0,0,0,0,0,0.6,0.6,0.0,0.7,3,5,19,0.00,0.00,0.00,0.00,0.00,0.15,0.01,0.16,0.15,0.16,Matches
86dd77d1,Kyle Walker,eng ENG,DF,Manchester City,31,1990,20,20,1755,19.5,0,2,2,0,0,0,1,0,0.3,0.3,1.3,1.5,43,146,65,0.00,0.10,0.10,0.00,0.10,0.01,0.06,0.08,0.01,0.08,Matches
984a5a64,Kyle Walker-Peters,eng ENG,DF,Southampton,24,1997,32,29,2633,29.3,1,2,3,1,0,0,5,0,1.1,1.1,2.7,3.8,134,147,165,0.03,0.07,0.10,0.03,0.10,0.04,0.09,0.13,0.04,0.13,Matches
9e525177,Aaron Wan-Bissaka,eng ENG,DF,Manchester Utd,23,1997,20,20,1793,19.9,0,0,0,0,0,0,2,0,0.3,0.3,0.9,1.2,55,61,90,0.00,0.00,0.00,0.00,0.00,0.02,0.04,0.06,0.02,0.06,Matches
d3ce0e89,Danny Ward,wls WAL,GK,Leicester City,28,1993,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
8a7ff278,Joel Ward,eng ENG,DF,Crystal Palace,31,1989,28,27,2487,27.6,0,0,0,0,0,0,8,0,0.3,0.3,0.5,0.8,27,119,37,0.00,0.00,0.00,0.00,0.00,0.01,0.02,0.03,0.01,0.03,Matches
3515d404,James Ward-Prowse,eng ENG,MF,Southampton,26,1994,36,36,3215,35.7,10,5,15,6,4,4,3,1,5.4,2.2,6.5,8.7,21,189,42,0.28,0.14,0.42,0.17,0.31,0.15,0.18,0.33,0.06,0.24,Matches
aed3a70f,Ollie Watkins,eng ENG,FW,Aston Villa,25,1995,35,33,2952,32.8,11,2,13,10,1,1,7,0,11.6,11.0,3.4,14.4,74,60,226,0.34,0.06,0.40,0.30,0.37,0.35,0.10,0.46,0.34,0.44,Matches
c40b6180,Adam Webster,eng ENG,DF,Brighton,26,1995,22,16,1434,15.9,2,0,2,2,0,0,5,0,0.9,0.9,0.0,0.9,19,109,7,0.13,0.00,0.13,0.13,0.13,0.06,0.00,0.06,0.06,0.06,Matches
c4e87b8b,Wout Weghorst,nl NED,FW,Burnley,28,1992,20,17,1450,16.1,2,3,5,2,0,0,3,0,4.8,4.8,1.5,6.2,7,26,81,0.12,0.19,0.31,0.12,0.31,0.30,0.09,0.39,0.30,0.39,Matches
ce5143da,Danny Welbeck,eng ENG,"FW,MF",Brighton,30,1990,25,15,1478,16.4,6,2,8,6,0,0,0,0,6.6,6.6,1.2,7.8,22,23,105,0.37,0.12,0.49,0.37,0.49,0.40,0.08,0.47,0.40,0.47,Matches
49fe9070,Timo Werner,de GER,"FW,MF",Chelsea,25,1996,21,15,1283,14.3,4,1,5,4,0,0,1,0,6.8,6.8,0.3,7.1,46,18,144,0.28,0.07,0.35,0.28,0.35,0.48,0.02,0.50,0.48,0.50,Matches
495945ef,Ashley Westwood,eng ENG,MF,Burnley,31,1990,27,26,2287,25.4,0,3,3,0,0,0,7,0,0.6,0.6,4.1,4.7,12,130,27,0.00,0.12,0.12,0.00,0.12,0.02,0.16,0.19,0.02,0.19,Matches
35e413f1,Ben White,eng ENG,DF,Arsenal,23,1997,32,32,2880,32.0,0,0,0,0,0,0,3,0,1.0,1.0,1.3,2.3,38,124,4,0.00,0.00,0.00,0.00,0.00,0.03,0.04,0.07,0.03,0.07,Matches
5e74d6c8,Brandon Williams,eng ENG,DF,Norwich City,20,2000,26,23,2120,23.6,0,1,1,0,0,0,8,0,0.2,0.2,1.9,2.2,57,90,58,0.00,0.04,0.04,0.00,0.04,0.01,0.08,0.09,0.01,0.09,Matches
dd323728,Neco Williams,wls WAL,DF,Liverpool,20,2001,1,0,8,0.1,0,1,1,0,0,0,0,0,0.0,0.0,0.7,0.7,1,0,2,0.00,11.25,11.25,0.00,11.25,0.00,7.82,7.82,0.00,7.82,Matches
a3b03921,Joe Willock,eng ENG,MF,Newcastle Utd,21,1999,29,24,2038,22.6,2,0,2,2,0,0,0,0,3.2,3.2,1.2,4.4,48,58,77,0.09,0.00,0.09,0.09,0.09,0.14,0.05,0.20,0.14,0.20,Matches
c596fcb0,Callum Wilson,eng ENG,FW,Newcastle Utd,29,1992,18,16,1386,15.4,8,0,8,6,2,2,4,0,6.2,4.6,0.5,5.1,14,9,52,0.52,0.00,0.52,0.39,0.39,0.40,0.03,0.43,0.30,0.33,Matches
2f7acede,Harry Winks,eng ENG,MF,Tottenham,25,1996,19,9,912,10.1,0,1,1,0,0,0,2,0,0.1,0.1,1.5,1.6,10,73,18,0.00,0.10,0.10,0.00,0.10,0.01,0.15,0.16,0.01,0.16,Matches
2500cef9,Yoane Wissa,cd COD,FW,Brentford,24,1996,30,12,1284,14.3,7,1,8,7,0,0,0,0,3.1,3.1,0.9,4.0,19,29,84,0.49,0.07,0.56,0.49,0.56,0.22,0.06,0.28,0.22,0.28,Matches
4e9a0555,Chris Wood,nz NZL,FW,Burnley,29,1991,17,17,1367,15.2,3,0,3,3,0,0,1,0,4.2,4.2,0.5,4.7,5,23,69,0.20,0.00,0.20,0.20,0.20,0.28,0.03,0.31,0.28,0.31,Matches
