id,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
abf0cad0,Suleiman Abdullahi,ng NGA,"FW,MF",Union Berlin,22,1996,1.7,1,6,3,50.0,3.44,1.72,0.17,0.33,16.0,0,0,0,1.1,1.1,0.19,-0.1,-0.1,Matches
565bf0da,David Abraham,ar ARG,DF,Eint Frankfurt,33,1986,18.8,2,7,4,57.1,0.37,0.21,0.29,0.50,8.1,0,0,0,1.6,1.6,0.22,+0.4,+0.4,Matches
1c08a3c8,Amir Abrashi,al ALB,MF,Freiburg,29,1990,7.4,0,4,2,50.0,0.54,0.27,0.00,0.00,20.1,0,0,0,0.5,0.5,0.12,-0.5,-0.5,Matches
2b09d998,Tyler Adams,us USA,"MF,DF",RB Leipzig,20,1999,10.6,0,7,1,14.3,0.66,0.09,0.00,0.00,18.5,0,0,0,0.4,0.4,0.06,-0.4,-0.4,Matches
22919e97,Sargis Adamyan,am ARM,"FW,MF",Hoffenheim,26,1993,8.3,5,21,11,52.4,2.53,1.33,0.24,0.45,12.1,0,0,0,5.9,5.9,0.28,-0.9,-0.9,Matches
89ac64a6,Manuel Akanji,ch SUI,DF,Dortmund,24,1995,25.7,0,8,2,25.0,0.31,0.08,0.00,0.00,21.2,0,0,0,0.4,0.4,0.05,-0.4,-0.4,Matches
6ec6fde0,Kevin Akpoguma,ng NGA,DF,Hoffenheim,24,1995,12.7,0,2,0,0.0,0.16,0.00,0.00,,19.5,0,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches
05439de2,David Alaba,at AUT,DF,Bayern Munich,27,1992,27.8,1,19,7,36.8,0.68,0.25,0.05,0.14,25.7,6,0,0,1.0,1.0,0.05,0.0,0.0,Matches
834d0be5,Lucas Alario,ar ARG,FW,Leverkusen,26,1992,13.0,7,49,18,36.7,3.76,1.38,0.12,0.33,12.7,0,1,1,7.3,6.5,0.13,-0.3,-0.5,Matches
a7a9d95a,Paco Alcácer,es ESP,FW,Dortmund,25,1993,5.9,5,16,7,43.8,2.72,1.19,0.31,0.71,13.1,0,0,0,3.9,3.9,0.25,+1.1,+1.1,Matches
77e84962,Thiago Alcántara,es ESP,MF,Bayern Munich,28,1991,19.7,3,18,8,44.4,0.91,0.41,0.17,0.38,17.7,0,0,0,2.4,2.4,0.14,+0.6,+0.6,Matches
555d5edd,Nadiem Amiri,de GER,"MF,FW",Leverkusen,22,1996,20.6,1,42,18,42.9,2.04,0.87,0.02,0.06,23.3,1,0,0,2.2,2.2,0.05,-1.2,-1.2,Matches
10b9fa99,Ethan Ampadu,wls WAL,DF,RB Leipzig,18,2000,0.9,0,1,0,0.0,1.11,0.00,0.00,,8.6,0,0,0,0.1,0.1,0.10,-0.1,-0.1,Matches
e7199efb,Opoku Ampomah,gh GHA,"FW,MF",Düsseldorf,23,1996,5.6,0,16,5,31.3,2.88,0.90,0.00,0.00,20.6,0,0,0,0.7,0.7,0.05,-0.7,-0.7,Matches
b4cf5806,Sebastian Andersson,se SWE,FW,Union Berlin,28,1991,29.8,12,63,35,55.6,2.11,1.17,0.17,0.31,12.3,0,1,2,11.9,10.3,0.16,+0.1,+0.7,Matches
e0b113a7,Robert Andrich,de GER,MF,Union Berlin,24,1994,28.6,1,49,7,14.3,1.71,0.24,0.02,0.14,24.9,4,0,0,2.6,2.6,0.05,-1.6,-1.6,Matches
30941e96,Angeliño,es ESP,"DF,FW",RB Leipzig,22,1997,12.2,1,5,2,40.0,0.41,0.16,0.20,0.50,12.5,0,0,0,0.9,0.9,0.18,+0.1,+0.1,Matches
0a3f6cde,Christopher Antwi-Adjei,gh GHA,"MF,FW",Paderborn 07,25,1994,27.4,1,46,8,17.4,1.68,0.29,0.02,0.13,17.9,1,0,0,3.8,3.8,0.08,-2.8,-2.8,Matches
56413b1f,Charles Aránguiz,cl CHI,MF,Leverkusen,30,1989,23.5,1,16,2,12.5,0.68,0.08,0.06,0.50,18.6,0,0,0,1.4,1.4,0.09,-0.4,-0.4,Matches
86e119e0,Maximilian Arnold,de GER,MF,Wolfsburg,25,1994,31.3,4,63,16,25.4,2.01,0.51,0.06,0.25,26.4,9,0,0,2.9,2.9,0.05,+1.1,+1.1,Matches
e26fcca3,Santiago Ascacíbar,ar ARG,MF,Hertha BSC,22,1997,7.0,0,2,0,0.0,0.28,0.00,0.00,,30.9,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
9fec8860,Ludwig Augustinsson,se SWE,"DF,MF",Werder Bremen,25,1994,10.3,0,5,0,0.0,0.49,0.00,0.00,,24.1,2,0,0,0.2,0.2,0.05,-0.2,-0.2,Matches
e5478b87,Taiwo Awoniyi,ng NGA,"FW,MF",Mainz 05,21,1997,5.4,1,14,3,21.4,2.61,0.56,0.07,0.33,11.1,0,0,0,3.2,3.2,0.23,-2.2,-2.2,Matches
2200181e,Kaan Ayhan,tr TUR,DF,Düsseldorf,24,1994,30.3,2,29,5,17.2,0.96,0.16,0.07,0.40,17.9,8,0,0,2.2,2.2,0.07,-0.2,-0.2,Matches
3489184e,Matthias Bader,de GER,DF,Köln,22,1997,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
f261abcb,Daniel Baier,de GER,MF,Augsburg,35,1984,21.6,1,16,2,12.5,0.74,0.09,0.06,0.50,27.2,0,0,0,0.5,0.5,0.03,+0.5,+0.5,Matches
3a233281,Leon Bailey,jm JAM,"FW,MF",Leverkusen,21,1997,12.1,5,29,11,37.9,2.39,0.91,0.17,0.45,17.7,1,0,0,4.3,4.3,0.15,+0.7,+0.7,Matches
1b278bf5,Lewis Baker,eng ENG,MF,Düsseldorf,24,1995,6.1,0,12,5,41.7,1.98,0.83,0.00,0.00,27.0,2,0,0,0.6,0.6,0.05,-0.6,-0.6,Matches
442b56fa,Ridle Baku,de GER,"DF,MF",Mainz 05,21,1998,26.1,1,22,6,27.3,0.84,0.23,0.05,0.17,22.9,0,0,0,1.0,1.0,0.05,0.0,0.0,Matches
7c3ed041,Leonardo Balerdi,ar ARG,"DF,MF",Dortmund,20,1999,1.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
3f7cd8f1,Philipp Bargfrede,de GER,MF,Werder Bremen,30,1989,6.5,0,5,0,0.0,0.77,0.00,0.00,,17.2,0,0,0,0.2,0.2,0.05,-0.2,-0.2,Matches
a2a85828,Aymen Barkok,ma MAR,"FW,MF",Düsseldorf,21,1998,0.9,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
00242b75,Leandro Barreiro Martins,lu LUX,MF,Mainz 05,19,2000,10.4,0,8,1,12.5,0.77,0.10,0.00,0.00,19.5,0,0,0,0.4,0.4,0.05,-0.4,-0.4,Matches
acc7b7ec,Fin Bartels,de GER,"MF,FW",Werder Bremen,32,1987,3.8,0,7,3,42.9,1.85,0.79,0.00,0.00,23.0,0,0,0,0.3,0.3,0.04,-0.3,-0.3,Matches
b7828a08,Oliver Batista-Meier,de GER,MF,Bayern Munich,18,2001,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
47064058,Oliver Baumann,de GER,GK,Hoffenheim,29,1990,30.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
