id,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp.1,Att.1,Cmp%.1,Cmp.2,Att.2,Cmp%.2,Cmp.3,Att.3,Cmp%.3,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
1f462f95,Luis Abram,pe PER,DF,Granada,25,1996,6.2,191,226,84.5,3666,1177,56,67,83.6,113,119,95.0,18,28,64.3,0,0.0,0.0,0.0,0,8,0,0,10,Matches
81442ecb,Marcos Acuña,ar ARG,DF,Sevilla,29,1991,25.1,1543,1963,78.6,29328,10206,662,722,91.7,640,767,83.4,219,392,55.9,3,2.9,4.1,+0.1,43,115,43,27,131,Matches
355c883a,Martin Agirregabiria,es ESP,DF,Alavés,25,1996,18.0,547,792,69.1,9008,4537,279,349,79.9,216,294,73.5,44,110,40.0,1,0.7,0.7,+0.3,14,51,20,12,57,Matches
a2c1a8d3,Julen Agirrezabala,es ESP,GK,Athletic Club,20,2000,4.0,62,82,75.6,1721,1232,11,11,100.0,34,34,100.0,17,37,45.9,0,0.0,0.0,0.0,0,1,0,0,0,Matches
4d034881,Sergio Agüero,ar ARG,FW,Barcelona,33,1988,1.7,30,42,71.4,396,45,14,20,70.0,12,15,80.0,0,0,,0,0.1,0.2,-0.1,1,3,0,0,3,Matches
93b054dc,Álvaro Aguirre,es ESP,FW,Rayo Vallecano,21,2000,0.1,3,3,100.0,35,0,3,3,100.0,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches
18abe173,Joseph Aidoo,gh GHA,DF,Celta Vigo,25,1995,29.3,1270,1567,81.0,26020,8332,359,420,85.5,740,830,89.2,159,278,57.2,0,0.3,0.5,-0.3,6,101,5,1,110,Matches
f2a68b97,Carlos Akapo,gq EQG,DF,Cádiz,28,1993,20.5,611,832,73.4,10222,3920,291,341,85.3,246,322,76.4,52,109,47.7,0,0.3,1.1,-0.3,7,38,14,11,51,Matches
b8bd60fe,Ilias Akhomach,es ESP,FW,Barcelona,17,2004,1.4,45,55,81.8,581,186,29,32,90.6,13,15,86.7,1,2,50.0,0,0.6,0.8,-0.6,4,4,7,2,11,Matches
31f5b89b,Paul Akouokou,ci CIV,MF,Betis,23,1997,5.7,284,325,87.4,4724,1363,142,156,91.0,121,136,89.0,17,24,70.8,0,0.1,0.3,-0.1,3,32,2,1,30,Matches
05439de2,David Alaba,at AUT,DF,Real Madrid,29,1992,29.4,1788,1968,90.9,29585,10903,831,870,95.5,804,859,93.6,102,161,63.4,3,2.2,3.0,+0.8,21,143,15,3,154,Matches
99ea2ddd,Tomás Alarcón,cl CHI,MF,Cádiz,22,1999,15.8,398,572,69.6,7977,2385,159,193,82.4,139,185,75.1,82,143,57.3,1,1.1,1.4,-0.1,14,41,7,4,55,Matches
4601e194,Jordi Alba,es ESP,DF,Barcelona,32,1989,29.4,2334,2795,83.5,36392,12699,1218,1329,91.6,868,995,87.2,154,273,56.4,10,7.1,5.8,+2.9,58,212,60,18,291,Matches
4bd414c1,Raúl Albiol,es ESP,DF,Villarreal,35,1985,27.4,1339,1560,85.8,28053,9682,355,392,90.6,780,850,91.8,186,277,67.1,0,0.1,0.2,-0.1,4,63,1,0,90,Matches
a7a9d95a,Paco Alcácer,es ESP,FW,Villarreal,27,1993,8.7,123,175,70.3,1444,197,73,99,73.7,25,33,75.8,5,8,62.5,3,1.6,1.2,+1.4,7,4,5,0,10,Matches
036bba5f,Rubén Alcaraz,es ESP,MF,Cádiz,30,1991,12.3,556,667,83.4,10541,3267,247,267,92.5,201,226,88.9,91,138,65.9,0,0.9,1.2,-0.9,14,85,12,3,87,Matches
bb08bce9,Omar Alderete,py PAR,DF,Valencia,24,1996,26.7,580,961,60.4,13798,6805,153,200,76.5,276,378,73.0,141,350,40.3,0,0.1,0.5,-0.1,4,78,7,0,89,Matches
